Sample ID	Site	Year	Month	Day	No.	TL(cm)	BL(cm)	BW(g)	SEX	Mat	GW	GSI
PO010715_02	Pohang	2015	1	7	2	59.0 	54.2 	2033.2 	2	345.1 	120.7 	16.97
PO010715_04	Pohang	2015	1	7	4	42.0 	38.0 	1036.3 	2	7.8 	50.3 	0.75
PO010715_06	Pohang	2015	1	7	6	74.0 	68.0 	4300.0 	2	475.3 	162.8 	11.05
PO010715_07	Pohang	2015	1	7	7	70.5 	65.3 	3471.5 	2	826.9 	155.4 	23.82
PO010715_08	Pohang	2015	1	7	8	70.5 	65.0 	4200.0 	2	904.2 	260.2 	21.53
PO010715_10	Pohang	2015	1	7	10	49.9 	46.2 	1266.7 	2	12.2 	42.4 	0.96
PO010715_11	Pohang	2015	1	7	11	41.0 	37.0 	1740.2 	2	193.5 	107.3 	11.12
PO010715_12	Pohang	2015	1	7	12	68.8 	64.4 	3944.5 	2	767.5 	289.5 	19.46
PO010715_17	Pohang	2015	1	7	17	69.0 	64.3 	2904.9 	2	486.2 	197.3 	16.74
PO010715_19	Pohang	2015	1	7	19	53.0 	49.5 	1341.7 	2	16.5 	43.3 	1.23
PO010715_26	Pohang	2015	1	7	26	40.0 	36.2 	627.5 	2	4.0 	24.7 	0.64
PO010715_27	Pohang	2015	1	7	27	44.0 	40.2 	830.2 	2	6.3 	35.2 	0.76
PO010715_28	Pohang	2015	1	7	28	65.5 	60.3 	3493.5 	2	556.9 	206.7 	15.94
PO010715_29	Pohang	2015	1	7	29	45.5 	42.0 	913.4 	2	9.3 	31.9 	1.02
PO020515_01	Pohang	2015	2	5	1	68.2 	62.6 	3140.0 	2	660.0 	90.0 	21.02
PO020515_03	Pohang	2015	2	5	3	65.8 	60.7 	2770.0 	2	570.0 	128.0 	20.58
PO020515_05	Pohang	2015	2	5	5	57.1 	52.6 	2030.0 	2	22.0 	146.0 	1.08
PO020515_06	Pohang	2015	2	5	6	51.0 	46.7 	1800.0 	2	362.0 	96.0 	20.11
PO020515_08	Pohang	2015	2	5	8	50.5 	46.6 	1210.0 	2	8.0 	68.0 	0.66
PO020515_09	Pohang	2015	2	5	9	46.5 	43.1 	1000.0 	2	8.0 	38.0 	0.80
PO020515_10	Pohang	2015	2	5	10	45.6 	42.5 	820.0 	2	8.0 	52.0 	0.98
PO020515_14	Pohang	2015	2	5	14	46.1 	42.5 	930.0 	2	6.0 	38.0 	0.65
PO020515_15	Pohang	2015	2	5	15	46.6 	42.2 	920.0 	2	8.0 	18.0 	0.87
PO020515_16	Pohang	2015	2	5	16	41.4 	37.8 	660.0 	2	6.0 	26.0 	0.91
PO020515_17	Pohang	2015	2	5	17	38.0 	34.6 	590.0 	2	6.0 	16.0 	1.02
PO031715_03	Pohang	2015	3	17	3	38.7 	35.5 	654.4 	2	5.9 	24.2 	0.90
PO031715_04	Pohang	2015	3	17	4	48.6 	44.8 	1040.5 	2	9.9 	41.6 	0.96
PO031715_13	Pohang	2015	3	17	13	47.0 	43.1 	908.7 	2	7.3 	40.7 	0.80
PO031715_20	Pohang	2015	3	17	20	61.0 	56.1 	2396.4 	2	39.1 	161.6 	1.63
PO031715_23	Pohang	2015	3	17	23	37.1 	33.5 	651.2 	2	5.8 	13.7 	0.89
PO031715_24	Pohang	2015	3	17	24	46.4 	42.7 	1054.7 	2	16.0 	34.1 	1.52
