Sample ID	Site	Year	Month	Day	No.	TL(cm)	BL(cm)	BW(g)	SEX	Mat	GW	GSI
GEO020414_2	Geoje	2014	2	4	2	69.3 	64.0 	3546.9 	2	-	-	
GEO020414_3	Geoje	2014	2	4	3	61.1 	56.2 	2631.9 	2	-	-	
GEO020414_4	Geoje	2014	2	4	4	63.0 	58.0 	2901.4 	2	-	-	
GEO020414_5	Geoje	2014	2	4	5	65.0 	59.4 	3204.0 	2	-	-	
GEO020414_6	Geoje	2014	2	4	6	68.2 	63.6 	3481.2 	2	-	-	
GEO020414_7	Geoje	2014	2	4	7	-	64.5 	3752.6 	2	-	-	
GEO020414_8	Geoje	2014	2	4	8	70.5 	65.6 	3746.1 	2	-	-	
GEO020414_9	Geoje	2014	2	4	9	69.6 	65.0 	3964.9 	2	-	-	
GEO020414_10	Geoje	2014	2	4	10	75.0 	70.3 	5900.0 	2	-	-	
GEO020414_11	Geoje	2014	2	4	11	82.5 	76.0 	4800.0 	2	-	-	
GEO020414_13	Geoje	2014	2	4	13	80.5 	74.6 	4200.0 	2	-	-	
GEO020414_14	Geoje	2014	2	4	14	78.6 	73.0 	4800.0 	2	-	-	
GEO020414_15	Geoje	2014	2	4	15	77.5 	71.0 	3700.0 	2	-	-	
GEO020414_16	Geoje	2014	2	4	16	82.8 	76.5 	5000.0 	2	-	-	
GEO020414_17	Geoje	2014	2	4	17	73.5 	68.3 	3400.0 	2	-	-	
GEO020414_23	Geoje	2014	2	4	23	82.9 	77.4 	4400.0 	2	-	-	
GEO020414_24	Geoje	2014	2	4	24	86.0 	80.7 	5800.0 	2	-	-	
GEO020414_25	Geoje	2014	2	4	25	82.8 	76.9 	5700.0 	2	-	-	
GEO020414_26	Geoje	2014	2	4	26	80.8 	75.5 	4800.0 	2	-	-	
GEO020414_27	Geoje	2014	2	4	27	74.8 	69.4 	3800.0 	2	-	-	
GEO020414_29	Geoje	2014	2	4	29	75.6 	70.5 	3829.9 	2	-	-	
GEO020414_30	Geoje	2014	2	4	30	75.0 	68.9 	3700.0 	2	-	-	
GEO11215_01	Geoje	2015	1	12	1	75.7 	69.5 	3668.3 	2	183.3 	156.9 	4.997137639
GE011215_07	Geoje	2015	1	12	7	64.4 	59.9 	2382.2 	2	326.1 	115.4 	13.68805491
GE011215_08	Geoje	2015	1	12	8	76.7 	70.2 	3900.0 	2	406.0 	133.3 	10.41102564
GE011215_09	Geoje	2015	1	12	9	75.9 	69.8 	4500.0 	2	1142.8 	127.6 	25.39511111
GEO11215_10	Geoje	2015	1	12	10	78.2 	71.9 	4400.0 	2	107.9 	161.7 	2.452272727
GEO11215_11	Geoje	2015	1	12	11	79.9 	63.8 	3664.4 	2	812.3 	80.5 	22.16806709
GE011215_14	Geoje	2015	1	12	14	71.5 	66.1 	4200.0 	2	1419.9 	-	33.80761905
GE011215_15	Geoje	2015	1	12	15	71.3 	65.9 	4700.0 	2	1603.6 	-	34.1193617
GE011215_16	Geoje	2015	1	12	16	68.4 	63.2 	3900.0 	2	762.6 	-	19.55358974
GE011215_18	Geoje	2015	1	12	18	65.5 	60.8 	2900.0 	2	724.0 	-	24.96517241
GE011215_19	Geoje	2015	1	12	19	67.3 	61.5 	4000.0 	2	1446.8 	-	36.17025
GE011215_20	Geoje	2015	1	12	20	78.3 	72.5 	4500.0 	2	-	-	
GE011215_21	Geoje	2015	1	12	21	63.8 	58.9 	3700.0 	2	-	-	
GE011215_22	Geoje	2015	1	12	22	70.4 	65.2 	2800.0 	2	-	-	
GE011215_24	Geoje	2015	1	12	24	74.5 	69.9 	3300.0 	2	-	-	
GE011215_28	Geoje	2015	1	12	28	76.5 	70.4 	4000.0 	2	-	-	
GE011215_29	Geoje	2015	1	12	29	66.3 	61.5 	3474.8 	2	858.3 	-	24.70105763
GE011215_30	Geoje	2015	1	12	30	69.8 	64.5 	3900.0 	2	-	-	
GEO012315_01	Geoje	2015	1	23	1	68.5 	63.4 	2800.0 	2	-	-	
GEO012315_02	Geoje	2015	1	23	2	68.5 	64.0 	3300.0 	2	-	-	
GEO012315_03	Geoje	2015	1	23	3	67.9 	63.2 	2600.0 	2	-	-	
GEO012315_04	Geoje	2015	1	23	4	63.0 	58.6 	2500.0 	2	-	-	
GEO012315_05	Geoje	2015	1	23	5	56.5 	52.4 	2000.0 	2	-	-	
GEO012315_06	Geoje	2015	1	23	6	55.5 	51.9 	2100.0 	2	-	-	
GEO012315_08	Geoje	2015	1	23	8	76.5 	71.0 	4400.0 	2	-	-	
GEO012315_09	Geoje	2015	1	23	9	66.0 	61.2 	2400.0 	2	-	-	
GEO012315_10	Geoje	2015	1	23	10	62.6 	58.3 	2700.0 	2	723.5 	83.2 	26.79481481
GEO012315_11	Geoje	2015	1	23	11	63.8 	60.1 	3000.0 	2	-	-	
GEO012315_12	Geoje	2015	1	23	12	62.6 	58.0 	2100.0 	2	-	-	
GEO012315_17	Geoje	2015	1	23	17	83.5 	78.2 	5500.0 	2	216.8 	250.0 	3.942
GEO012315_18	Geoje	2015	1	23	18	74.6 	69.8 	4200.0 	2	658.5 	140.6 	15.67833333
GEO012315_20	Geoje	2015	1	23	20	70.3 	65.7 	2600.0 	2	141.2 	112.4 	5.431923077
GEO012315_21	Geoje	2015	1	23	21	69.0 	64.5 	3300.0 	2	439.4 	97.2 	13.31575758
GEO012315_22	Geoje	2015	1	23	22	68.0 	62.7 	2600.0 	2	136.4 	75.9 	5.244615385
NA021015_02	Namhae	2015	2	10	9	73.1 	68.3 	2900.0 	2	135.5 	63.1 	4.67137931
NA021015_03	Namhae	2015	2	10	21	60.8 	56.6 	1700.0 	2	56.8 	40.0 	3.341176471
NA021015_06	Namhae	2015	2	10	2	81.7	76.5	5100	2		651.71	12.779
NA021015_08	Namhae	2015	2	10	3	72.9	68	3700	2		155.32	4.198
NA021015_09	Namhae	2015	2	10	6	50.1	46.7	1300	2		207.66	15.974
NA021015_10	Namhae	2015	2	10	8	60.2	56.1	2300	2		485.08	21.090
NA021015_13	Namhae	2015	2	10	10	61.8	57.7	2700	2		599.5	22.204
NA021015_14	Namhae	2015	2	10	13	59.4	53.8	1900	2		85.4	4.495
NA021015_16	Namhae	2015	2	10	14	64.2	59.9	2500	2		167.38	6.695
NA021015_17	Namhae	2015	2	10	16	65.8	61	2300	2		244.17	10.616
NA021015_21	Namhae	2015	2	10	17	62.5 	57.3 	2300.0 	2		669.7 	29.1173913
NA021015_22	Namhae	2015	2	10	22	61.5 	57.4 	1800.0 	2		90.5 	5.027777778
