Site	Year	Ne1	Ne1_upper	Ne1_lower	Ne2	Ne2_upper	Ne2_lower
YS Block	2015-2016	1202.283906	1068.342801	1374.202603	1202.283906	1068.342801	1374.202603
Boryeong	2007-2008	2614.591543	1993.186378	3807.317331	2614.591543	1993.186378	3807.317331
Jinhae Bay	2007-2008, Dec.	301.2719053	294.6449429	308.2811924	238.0608795	233.2180993	243.0311012
Jinhae Bay	2007-2008, Feb.	834.4874939	794.2159533	1261.416801	873.8669435	823.9098424	930.1961237
Geoje	2014-2015	1380.319799	1222.164793	1585.118425	1201.136932	1063.882346	1378.663059
Geoje	2013-2014	1196.294152	1022.591272	1440.599669	1196.294152	1022.591272	1440.599669
Pohang	2014-2015	2940.587116	2341.229345	3949.924463	2090.296866	1729.382299	2640.334743
Jukbyeon	2007-2008	1369.742148	1221.017819	1559.375225	1373.820279	1208.018777	1592.000271
Southern Pop.	2007-2008	567.2424917	556.7922818	578.2024679	523.4025867	513.7170263	533.3430303
Southern Pop.	2013-2014	1196.294152	1022.591272	1440.599669	1196.294152	1022.591272	1440.599669
Southern Pop.	2014-2015	2013.959357	1885.370798	2161.154386	1923.220949	1799.092845	2065.70064
