Site	Year	Ne1	Ne1_upper	Ne1_lower	Ne2	Ne2_upper	Ne2_lower
YS Block	2015-2016	943.4	838.3	1078.3	943.4	838.3	1078.3
Boryeong	2007-2008	2051.6	1564	2987.5	2051.6	1564	2987.5
Jinhae Bay	2007-2008, Dec.	236.4	231.2	241.9	186.8	183	190.7
Jinhae Bay	2007-2008, Feb.	654.8	623.2	989.8	685.7	646.5	729.9
Geoje	2014-2015	1083.1	959	1243.8	942.5	834.8	1081.8
Geoje	2013-2014	938.7	802.4	1130.4	938.7	802.4	1130.4
Pohang	2014-2015	2307.4	1837.1	3099.4	1640.2	1357	2071.8
Jukbyeon	2007-2008	1074.8	958.1	1223.6	1078	947.9	1249.2
Southern Pop.	2007-2008	445.1	436.9	453.7	410.7	403.1	418.5
Southern Pop.	2013-2014	938.7	802.4	1130.4	938.7	802.4	1130.4
Southern Pop.	2014-2015	1580.3	1479.4	1695.8	1509.1	1411.7	1620.9
