Missing data from input file batch_8_fiHderetlifilteredHWE_filteredRepsC_NeInput2_byRegionLD.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PO010715_02]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          513             0000            10
       2          481             0000            16
       3          288             0000            42
       4          458             0000            30
       5          173             0000            22
       6          100             0000            39
       7          160             0000            22
       8          183             0000            42
       9           76             0000            18
      10          680             0000            32
      11         3422             0000             9
      12          973             0000            15
      13          788             0000            28
      14          108             0000            22
      15           76             0000            46
      16          652             0000            40
      17           39             0000            29
      18          409             0000            55
      19          884             0000            25
      20          409             0000            17
      21          769             0000            11
      22          201             0000            27
      23          236             0000            31
      24          671             0000            16
      25          239             0000            16
      26          303             0000            21
      27           48             0000            39
      28          756             0000            12
      29          178             0000            25
      30          247             0000            12
      31           15             0000            17
      32          302             0000            16
      33          131             0000            49
      34           76             0000            59
      35          429             0000            18
      36          228             0000            10
      37          239             0000            13
      38          247             0000            22
      39          154             0000            33
      40          242             0000            17
      41          901             0000            21
      42          247             0000            18
      43          547             0000            26
      44         2024             0000             6
      45          131             0000            19
      46          480             0000             8
      47           93             0000            85
      48          582             0000            13
      49          201             0000            36
      50          178             0000            37
      51           89             0000            38
      52          193             0000            54
      53          607             0000            45
      54         1139             0000            10
      55         1466             0000            19
      56          606             0000            30
      57          760             0000            17
      58          201             0000            45
      59          121             0000            42
      60          174             0000            20
      61           98             0000            42
      62          181             0000            35
      63          302             0000            24
      64          206             0000            33
      65           64             0000            42
      66          174             0000            64
      67          206             0000            25
      68           72             0000            16
      69          121             0000            16
      70           76             0000            18
      71          178             0000            11
      72          604             0000            26
      73          651             0000            20
      74          279             0000            14
      75           76             0000             8
      76          479             0000            12
      77         1451             0000            11
      78           76             0000            27
      79            1             0000           869
      80          277             0000            18
      81          606             0000            17
      82          925             0000             6
      83            1             0000           381
      84          178             0000            31
      85          239             0000            15
      86          409             0000            36
      87            1             0000            41
      88          183             0000            51
      89            1             0000           293
      90          206             0000            55
      91           76             0000            21
      92          516             0000            28
      93          121             0000            38
      94           76             0000            20
      95         1702             0000            11
      96           66             0000            39
      97            1             0000           751
      98            7             0000           443
      99          257             0000            25
     100          143             0000            90
     101            1             0000           631
     102            5             0000           541
     103            1             0000           251
     104          121             0000            28
     105           72             0000            39
     106          480             0000            20
     107           42             0000           186
     108           31             0000           790
     109           52             0000           212
     110          181             0000            75
     111            2             0000            55
     112          343             0000            15
     113          121             0000            33
     114          201             0000            22
     115          131             0000            68
     116           89             0000            32
     117            1             0000           205
     118          467             0000            15
     119           85             0000            24
     120          265             0000            36
     121            7             0000           199
     122          328             0000            27
     123         1271             0000            13
     124          265             0000            43
     125          185             0000            11
     126          429             0000            17
     127          279             0000            21
     128           94             0000           198
     129           48             0000            39
     130           18             0000            95
     131          121             0000            12
     132            9             0000            57
     133           32             0000           126
     134           76             0000            28
     135           80             0000            20
     136            1             0000           434
     137           11             0000           448
     138            7             0000           136
     139          445             0000            13
     140          999             0000            11
     141           76             0000            14
     142          160             0000            11
     143           60             0000            15
     144           18             0000           259
     145          187             0000            37
     146           16             0000           149
     147            5             0000           151
     148           38             0000           318
     149            1             0000            95
     150           76             0000           104
     151            5             0000           437
     152          174             0000            14
     153          239             0000            32
     154           13             0000           164
     155            7             0000           566
     156          551             0000            25
     157           17             0000           195
     158           65             0000           201
     159          277             0000            16
     160          501             0000            23
     161            6             0000           403
     162           34             0000           322
     163           20             0000           214
     164           22             0000           402
     165           22             0000            45
     166           64             0000            28
     167           45             0000           148
     168           32             0000           286
     169          433             0000             9
     170         1115             0000            10
     171           80             0000            42
     172           83             0000            44
     173           18             0000           137
-----------------------------------------------------------
Total missing data for population    1:        15477

Population 2 [YS_121316_01]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          247             0000            19
       2          162             0000            41
       3           35             0000           137
       4          573             0000            22
       5         1609             0000            11
       6          120             0000           219
       7          209             0000            24
       8           74             0000            38
       9           80             0000            16
      10           23             0000            51
      11           39             0000            24
      12           32             0000           350
      13           21             0000           411
      14            7             0000           536
      15          390             0000            43
      16           72             0000           156
      17          101             0000            49
      18           83             0000            33
      19           64             0000            16
      20          103             0000            39
      21           76             0000           163
      22            3             0000           376
      23         1042             0000             7
      24          517             0000            28
      25           60             0000            24
      26           45             0000            23
      27            6             0000           172
      28          662             0000            25
      29          209             0000            44
      30          209             0000            39
      31           89             0000            10
      32          910             0000            13
      33          103             0000            31
      34           34             0000            25
      35          209             0000            13
      36          753             0000            13
      37           34             0000            37
      38          753             0000            16
      39          103             0000            34
      40           69             0000            42
      41           80             0000            23
      42           47             0000            90
      43           85             0000            51
      44           89             0000            39
      45           64             0000            25
