sample	prop_het	read_depth	p_missing_genos	rem_ho
PO010715_02	0.234429066	6817653	0.004306632	0
PO010715_02_rep	0.251038781	7823165	0.004824259	0
PO010715_04	0.162742382	3432097	0.004824259	0
PO010715_06.1	0.179523142	2473192	0.017229497	0
PO010715_08.1	0.166782609	2503625	0.009303928	0
PO010715_10.1	0.17618469	3106846	0.007408684	0
PO010715_11.1	0.176091874	3372281	0.009820813	0
PO010715_12	0.163832003	3295834	0.007236389	0
PO010715_17.1	0.183310056	2645508	0.013094418	0
PO010715_19.1	0.210700017	2927703	0.008097864	0
PO010715_26	0.283760388	5617638	0.004995693	1
PO010715_27.1	0.186127571	2937015	0.011371468	0
PO010715_28.1	0.229621922	3255176	0.006547209	0
PO010715_29.1	0.22596906	3110048	0.008787043	0
PO020515_01	0.178391523	2640637	0.008097864	0
PO020515_03.1	0.171790863	3142354	0.008097864	0
PO020515_05.1	0.183998599	3691453	0.015851137	0
PO020515_06	0.210325048	8336214	0.008787043	0
PO020515_08.1	0.181390486	2808032	0.011199173	0
PO020515_09.1	0.193627882	3016815	0.021192281	0
PO020515_10.1	0.178995115	4812537	0.012405238	0
PO020515_14.1	0.170883882	3306735	0.005858029	0
PO020515_15.1	0.189866851	4916525	0.003618194	0
PO020515_16.1	0.20638778	3504202	0.007408684	0
PO020515_17.1	0.192214112	4137911	0.008614748	0
PO031715_03	0.180239625	2722559	0.007753274	0
PO031715_04	0.167532918	3094421	0.005513439	0
PO031715_13.1	0.252297555	3495400	0.006374914	0
PO031715_20.1	0.175964912	1961294	0.017918677	0
PO031715_23	0.174545455	4707310	0.004996554	0
PO031715_24	0.178801043	2820366	0.008442453	0
PO010715_26_2	0.19448778	4097320	0.006030324	0
PO010715_07	0.216412742	4070626	0.004995693	0
GE011215_01.1	0.247746186	3807454	0.006202619	0
GE011215_07.1	0.211373578	3631183	0.015334252	0
GE011215_08.1	0.245118921	2076442	0.029290145	0
GE011215_09.1	0.247438791	3758901	0.007753274	0
GE011215_10.1	0.209229702	3440184	0.006891799	0
GE011215_14.1	0.18824753	6549008	0.006030324	0
GE011215_15.1	0.221990982	5694239	0.006547209	0
GE011215_16.1	0.180834352	3791389	0.012922123	0
GE011215_18	0.200034608	6852956	0.004307374	0
GE011215_19	0.170338248	4019476	0.006719504	0
GE011215_20.1	0.190937392	4147822	0.003790489	0
GE011215_21.1	0.177175612	3384807	0.008097864	0
GE011215_22	0.17944281	6470888	0.004307374	0
GE011215_24.1	0.178850495	3134738	0.007753274	0
GE011215_28	0.207403563	3861430	0.003962784	0
GE011215_29.1	0.217135732	2245206	0.032736044	0
GE011215_30.1	0.320415225	4661699	0.004135079	1
GE012315_01.1	0.233572805	2199367	0.016712612	0
GE012315_03.1	0.234158329	3747521	0.018435562	0
GE012315_04.1	0.254682304	2523135	0.015678842	1
GE012315_05.1	0.188408335	3029457	0.016023432	0
GE012315_06.1	0.215108165	3646562	0.012405238	0
GE012315_08.1	0.224224571	2649848	0.005685734	0
GE012315_09.1	0.35758728	3036050	0.003101309	1
GE012315_10.1	0.265416015	2333584	0.008097864	1
GE012315_11.1	0.33575506	3742895	0.003962784	1
GE012315_17.1	0.170112945	3009275	0.008442453	0
GE012315_20.1	0.236120749	3109124	0.006891799	0
GE012315_22.1	0.17601683	3048700	0.017229497	0
GEO012315_02	0.167568511	5152585	0.012922123	0
GEO012315_12	0.238557559	6131307	0.006202619	0
GEO012315_18	0.166724921	4614041	0.014128187	0
GEO012315_21	0.174481436	4819847	0.011543763	0
GE012315_11_2	0.371566765	11780055	0.002584425	1
GE012315_09_2	0.434805105	5169137	0.00103377	1
GE011215_11	0.197195291	8550021	0.004995693	0
NA021015_02.1	0.179026348	4039779	0.012577533	0
NA021015_03.1	0.266912022	3086869	0.016884907	1
NA021015_06.1	0.277131446	4864411	0.007753274	1
NA021015_08.1	0.182931157	2468650	0.028945555	0
NA021015_09.1	0.305507447	4076545	0.005168849	1
NA021015_10.1	0.274608696	3737101	0.009303928	1
NA021015_13.1	0.264777469	5022277	0.008959338	1
NA021015_14.1	0.209358752	4332781	0.005858029	0
NA021015_16.1	0.185897436	5291624	0.005513439	0
NA021015_17.1	0.175186276	4162902	0.005685734	0
NA021015_21.1	0.176684566	3800139	0.005341144	0
NA021015_22.1	0.177237185	3309272	0.008442453	0
NA021015_23	0.182844244	2712287	0.007753274	0
NA021015_25	0.17744725	5191269	0.003790489	0
NA021015_26	0.201728608	3817109	0.003273604	0
NA021015_30	0.184615385	3712357	0.003273604	0
NA021015_06_2	0.343441345	13390849	0.005685734	1
NA021015_09_2	0.369884303	12844951	0.002239835	1
NA021015_10_2	0.271969434	3404635	0.007925569	1
YS_121316_01	0.18480706	6316229	0.004307374	0
YS_121316_03	0.184693343	2808906	0.013955892	0
YS_121316_05	0.234875445	6635649	0.031702274	0
YS_121316_13	0.199375867	4409814	0.006202619	0
YS_121316_17	0.203880132	3900580	0.005341144	0
YS_121316_18	0.172902288	5165500	0.051343901	0
YS_121316_20.1	0.28725065	5211971	0.006719504	1
YS_121316_21	0.234480374	5653775	0.003789836	0
YS_121316_22	0.196394522	5677131	0.006030324	0
YS_121316_23	0.212632678	3985378	0.009820813	0
