sample	prop_het	read_depth	p_missing_genos
PO010715_02	0.233135656	6817653	0.001849797
PO010715_02_rep	0.251066197	7823165	0.002220167
PO010715_04	0.162367786	3432097	0.002960222
PO010715_06.1	0.182547082	2473192	0.007770583
PO010715_08.1	0.166511628	2503625	0.005550416
PO010715_10.1	0.175552666	3106846	0.004070305
PO010715_11.1	0.180767797	3372281	0.007215541
PO010715_12	0.160319524	3295834	0.004070305
PO010715_17.1	0.185157561	2645508	0.007770583
PO010715_19.1	0.210506776	2927703	0.00333025
PO010715_26	0.282854495	5617638	0.002034776
PO010715_27.1	0.185743532	2937015	0.005920444
PO010715_28.1	0.226093403	3255176	0.001665125
PO010715_29.1	0.22690167	3110048	0.002775208
PO020515_01	0.17909615	2640637	0.005180389
PO020515_03.1	0.165521085	3142354	0.004070305
PO020515_05.1	0.181377123	3691453	0.008510638
PO020515_06	0.21304753	8336214	0.007400555
PO020515_08.1	0.182849702	2808032	0.005365402
PO020515_09.1	0.19364486	3016815	0.010175763
PO020515_10.1	0.175650558	4812537	0.004625347
PO020515_14.1	0.169821826	3306735	0.003145236
PO020515_15.1	0.18928439	4916525	0.002035153
PO020515_16.1	0.203049461	3504202	0.004995375
PO020515_17.1	0.192035728	4137911	0.00573543
PO031715_03	0.181851921	2722559	0.002960222
PO031715_04	0.16607905	3094421	0.002960222
PO031715_13.1	0.252414562	3495400	0.003885291
PO031715_20.1	0.176481551	1961294	0.007215541
PO031715_23	0.174300019	4707310	0.002220167
PO031715_24	0.181598513	2820366	0.004625347
PO010715_26_2	0.194511404	4097320	0.002220167
PO010715_07	0.216035635	4070626	0.003329634
PO010715_07_rep	0.216778025	4135965	0.003145236
GE011215_01.1	0.244572277	3807454	0.002960222
GE011215_07.1	0.208551158	3631183	0.00906568
GE011215_08.1	0.244481856	2076442	0.010915819
GE011215_09.1	0.245219974	3758901	0.00333025
GE011215_10.1	0.210194625	3440184	0.001850139
GE011215_14.1	0.18620178	6549008	0.00240518
GE011215_15.1	0.22088055	5694239	0.004070305
GE011215_16.1	0.179076694	3791389	0.006105458
GE011215_18	0.200259837	6852956	0.003145236
GE011215_19	0.170690936	4019476	0.003885291
GE011215_20.1	0.190458511	4147822	0.00333025
GE011215_21.1	0.173266406	3384807	0.004810361
GE011215_22	0.182626412	6470888	0.001110083
GE011215_24.1	0.178239881	3134738	0.003515264
GE011215_28	0.205669817	3861430	0.001480111
GE011215_29.1	0.214097744	2245206	0.015726179
GE011215_30.1	0.322885757	4661699	0.00240518
GE012315_01.1	0.234308065	2199367	0.0066605
GE012315_03.1	0.236214605	3747521	0.006845513
GE012315_04.1	0.256754239	2523135	0.007030527
GE012315_05.1	0.191739862	3029457	0.009990749
GE012315_06.1	0.214365672	3646562	0.008325624
GE012315_08.1	0.224467099	2649848	0.001850139
GE012315_09.1	0.351917022	3036050	0.001110083
GE012315_10.1	0.262346825	2333584	0.003515264
GE012315_11.1	0.333024634	3742895	0.001110083
GE012315_17.1	0.168930233	3009275	0.005550416
GE012315_20.1	0.234966592	3109124	0.003145236
GE012315_22.1	0.17369403	3048700	0.008325624
GEO012315_02	0.164273727	5152585	0.007770583
GEO012315_12	0.237697307	6131307	0.003700278
GEO012315_18	0.164087265	4614041	0.007770583
