PO010715_02	PO010715_02_rep
PO010715_26	PO010715_26_2
PO010715_07	PO010715_07_rep
PO010715_07	PO010715_07_rep
GE012315_11.1	GE012315_11_2
GE012315_09.1	GE012315_09_2
GE011215_11	GE011215_11_rep
NA021015_06.1	NA021015_06_2
NA021015_09.1	NA021015_09_2
NA021015_10.1	NA021015_10_2
YS_121316_20.1	YS_121316_20_2
YS_121316_21	YS_121316_21_2
YS121315_12	YS121315_12_300
YS121315_14.1	YS121315_14_2
JUK07_02.1	JUK07_02_rep.1
JUK07_06.1	JUK07_06_2
JUK07_09.1	JUK07_09_rep.1
JUK07_16.1	JUK07_16_rep.1
JB121807_08	JB121807_08_rep
JB121807_03.1	JB121807_03_rep
JB121807_05	JB121807_05_2
JB121807_16.1	JB121807_16_2
JB121807_27	JB121807_27_2
JB121807_30	JB121807_30_2
JB021108_05	JB021108_05_rep
JB021108_35	JB021108_35_rep
JB021108_36.1	JB021108_36_rep.1
JB021108_37.1	JB021108_37_rep.1
JB021108_46.1	JB021108_46_rep.1
JB021108_11_2	JB021108_11_rep
JB021108_25.1	JB021108_25_2
BOR07_01	BOR07_01_2
BOR07_21.1	BOR07_21_2
GEO020414_10	GEO020414_10_2
GEO020414_13_300	GEO020414_13_2
GEO020414_30	GEO020414_30_2
GEO020414_8	GEO020414_8_300
GEO020414_9	GEO020414_9_300
GEO020414_11	GEO020414_11_300
GEO020414_14	GEO020414_14_300
GEO020414_15	GEO020414_15_300
GEO020414_16	GEO020414_16_300
GEO020414_17	GEO020414_17_300
GEO020414_23	GEO020414_23_300
GEO020414_24	GEO020414_24_300
GEO020414_25	GEO020414_25_300
