sample	prop_het	read_depth	p_missing_genos
PO010715_02	0.234429066	6817653	0.004306632
PO010715_02_rep	0.251038781	7823165	0.004824259
PO010715_04	0.162742382	3432097	0.004824259
PO010715_06.1	0.179523142	2473192	0.017229497
PO010715_08.1	0.166782609	2503625	0.009303928
PO010715_10.1	0.17618469	3106846	0.007408684
PO010715_11.1	0.176091874	3372281	0.009820813
PO010715_12	0.163832003	3295834	0.007236389
PO010715_17.1	0.183310056	2645508	0.013094418
PO010715_19.1	0.210700017	2927703	0.008097864
PO010715_26	0.283760388	5617638	0.004995693
PO010715_27.1	0.186127571	2937015	0.011371468
PO010715_28.1	0.229621922	3255176	0.006547209
PO010715_29.1	0.22596906	3110048	0.008787043
PO020515_01	0.178391523	2640637	0.008097864
PO020515_03.1	0.171790863	3142354	0.008097864
PO020515_05.1	0.183998599	3691453	0.015851137
PO020515_06	0.210325048	8336214	0.008787043
PO020515_08.1	0.181390486	2808032	0.011199173
PO020515_09.1	0.193627882	3016815	0.021192281
PO020515_10.1	0.178995115	4812537	0.012405238
PO020515_14.1	0.170883882	3306735	0.005858029
PO020515_15.1	0.189866851	4916525	0.003618194
PO020515_16.1	0.20638778	3504202	0.007408684
PO020515_17.1	0.192214112	4137911	0.008614748
PO031715_03	0.180239625	2722559	0.007753274
PO031715_04	0.167532918	3094421	0.005513439
PO031715_13.1	0.252297555	3495400	0.006374914
PO031715_20.1	0.175964912	1961294	0.017918677
PO031715_23	0.174545455	4707310	0.004996554
PO031715_24	0.178801043	2820366	0.008442453
PO010715_26_2	0.19448778	4097320	0.006030324
PO010715_07	0.216412742	4070626	0.004995693
PO010715_07_rep	0.219778317	4135965	0.005168849
GE011215_01.1	0.247746186	3807454	0.006202619
GE011215_07.1	0.211373578	3631183	0.015334252
GE011215_08.1	0.245118921	2076442	0.029290145
GE011215_09.1	0.247438791	3758901	0.007753274
GE011215_10.1	0.209229702	3440184	0.006891799
GE011215_14.1	0.18824753	6549008	0.006030324
GE011215_15.1	0.221990982	5694239	0.006547209
GE011215_16.1	0.180834352	3791389	0.012922123
GE011215_18	0.200034608	6852956	0.004307374
GE011215_19	0.170338248	4019476	0.006719504
GE011215_20.1	0.190937392	4147822	0.003790489
GE011215_21.1	0.177175612	3384807	0.008097864
GE011215_22	0.17944281	6470888	0.004307374
GE011215_24.1	0.178850495	3134738	0.007753274
GE011215_28	0.207403563	3861430	0.003962784
GE011215_29.1	0.217135732	2245206	0.032736044
GE011215_30.1	0.320415225	4661699	0.004135079
