sample	type	p.mismatch	diff.missing	loci.genotyped
PO010715_07	Replicate	6.257583637	2	5769
GEO020414_30	Replicate	37.17089517	1056	4178
GE012315_11	Replicate	4.20997921	0	5772
GEO020414_8	300v500ng	1.647303624	1	5767
GEO020414_9	300v500ng	4.844413013	3	5656
GEO020414_10	300v500ng	25.26225648	870	4671
GEO020414_11	300v500ng	5.258590767	1	5762
GEO020414_14	300v500ng	7.552979533	96	5521
GEO020414_15	300v500ng	29.55675676	274	4625
GEO020414_16	300v500ng	4.266997167	66	5648
GEO020414_17	300v500ng	12.53912723	146	5431
GEO020414_23	300v500ng	7.369516213	3	5767
GEO020414_24	300v500ng	8.512874409	2	5709
GEO020414_25	300v500ng	13.51772497	303	5134
JB121807_03.1	Replicate	4.184906321	4	5711
JB121807_05	Replicate	31.34065934	1002	4550
JB121807_08	Replicate	1.425095586	2	5754
JB121807_27	Replicate	34.5267959	1007	4385
JB121807_30	Replicate	31.17196057	886	4565
JB021108_05	Replicate	3.838174274	0	5784
JB021108_25.1	Replicate	20.29598309	135	4730
JB021108_36.1	Replicate	2.785030461	4	5745
JB021108_37.1	Replicate	2.95498001	6	5753
JB021108_46.1	Replicate	2.24835697	3	5782
JUK07_02.1	Replicate	4.211438475	2	5770
JUK07_06.1	Replicate	7.451669596	4	5690
JUK07_09.1	Replicate	4.781704782	1	5772
JUK07_16.1	Replicate	5.162423178	1	5695
YS_121316_21	Replicate	7.335640138	1	5780
YS121315_12	300v500ng	4.764453961	100	5604
BOR07_01.1	Replicate	35.35142658	1174	4311
BOR07_21.1	Replicate	26.89776218	917	4558
