Sample.ID	Migrant	Assigned.Pop
PO010715_02	No	NA
PO010715_04	No	NA
PO010715_06	No	NA
PO010715_08	No	NA
PO010715_10	No	NA
PO010715_11	Yes	West
PO010715_12	No	NA
PO010715_17	No	NA
PO010715_19	No	NA
PO010715_27	No	NA
PO010715_28	No	NA
PO010715_29	No	NA
PO020515_01	No	NA
PO020515_03	No	NA
PO020515_05	No	NA
PO020515_06	Yes	West
PO020515_08	No	NA
PO020515_09	No	NA
PO020515_10	No	NA
PO020515_14	No	NA
PO020515_15	No	NA
PO020515_16	No	NA
PO020515_17	No	NA
PO031715_03	No	NA
PO031715_04	No	NA
PO031715_13	No	NA
PO031715_20	No	NA
PO031715_23	No	NA
PO031715_24	No	NA
PO010715_26	No	NA
PO010715_07	No	NA
GE011215_01	No	NA
GE011215_07	No	NA
GE011215_08	No	NA
GE011215_09	No	NA
GE011215_10	No	NA
GE011215_14	No	NA
GE011215_15	No	NA
GE011215_16	No	NA
GE011215_18	No	NA
GE011215_19	No	NA
GE011215_20	No	NA
GE011215_21	No	NA
GE011215_22	No	NA
GE011215_24	No	NA
GE011215_28	No	NA
GE011215_29	No	NA
GE012315_01	No	NA
GE012315_03	No	NA
GE012315_06	Yes	West
GE012315_08	No	NA
GE012315_17	No	NA
GE012315_20	No	NA
GE012315_22	No	NA
GE012315_02	No	NA
GE012315_12	No	NA
GE012315_18	No	NA
GE012315_21	No	NA
GE011215_11	No	NA
NA021015_02	No	NA
NA021015_08	No	NA
NA021015_14	No	NA
NA021015_16	No	NA
NA021015_17	No	NA
NA021015_21	No	NA
NA021015_22	Yes	West
NA021015_23	No	NA
NA021015_25	No	NA
NA021015_26	No	NA
NA021015_30	Yes	West
YS_121316_01	No	NA
YS_121316_03	No	NA
YS_121316_05	No	NA
YS_121316_13	No	NA
YS_121316_17	No	NA
YS_121316_18	No	NA
YS_121316_21	No	NA
YS_121316_22	No	NA
YS_121316_23	No	NA
YS_121316_24	No	NA
YS_121316_25	No	NA
YS_121316_26	No	NA
YS_121316_27	No	NA
YS_121316_28	No	NA
YS_121316_29	No	NA
YS_121316_08	No	NA
YS_121316_10	No	NA
YS_121316_12	No	NA
YS_121316_15	No	NA
YS_121316_16	No	NA
YS_121316_30	No	NA
YS_121316_04	No	NA
YS_121316_19	No	NA
YS_121316_20	No	NA
YS_121316_07	No	NA
JUK07_01	Yes	West
JUK07_02	No	NA
JUK07_03	Yes	West
JUK07_06	No	NA
JUK07_09	No	NA
JUK07_14	No	NA
JUK07_15	No	NA
JUK07_16	No	NA
JUK07_17	No	NA
JUK07_18	No	NA
JUK07_19	No	NA
JUK07_20	No	NA
JUK07_22	No	NA
JUK07_25	No	NA
JUK07_26	No	NA
JUK07_27	No	NA
JUK07_28	No	NA
JUK07_29	No	NA
JUK07_30	No	NA
JUK07_32	No	NA
JUK07_36	No	NA
JUK07_37	No	NA
JUK07_10	No	NA
JUK07_13	Yes	West
JUK07_21	No	NA
JUK07_23	No	NA
JUK07_34	No	NA
JUK07_04	No	NA
JUK07_31	Yes	South
JUK07_11	No	NA
JUK07_08	No	NA
JUK07_33	No	NA
BOR07_02	No	NA
BOR07_03	No	NA
BOR07_04	No	NA
BOR07_05	No	NA
BOR07_06	No	NA
BOR07_07	No	NA
BOR07_08	No	NA
BOR07_09	No	NA
BOR07_11	No	NA
BOR07_12	No	NA
BOR07_13	No	NA
BOR07_14	No	NA
BOR07_15	No	NA
BOR07_16	No	NA
BOR07_17	No	NA
BOR07_18	No	NA
BOR07_19	No	NA
BOR07_20	No	NA
BOR07_22	No	NA
BOR07_01	No	NA
BOR07_21	No	NA
GEO020414_11	No	NA
GEO020414_13	No	NA
GEO020414_14	No	NA
GEO020414_15	No	NA
GEO020414_16	No	NA
GEO020414_17	No	NA
GEO020414_02	No	NA
GEO020414_23	No	NA
GEO020414_24	No	NA
GEO020414_25	No	NA
GEO020414_26	No	NA
GEO020414_27	No	NA
GEO020414_29	No	NA
GEO020414_03	No	NA
GEO020414_04	No	NA
GEO020414_05	No	NA
GEO020414_06	Yes	West
GEO020414_07	No	NA
GEO020414_08	No	NA
GEO020414_09	No	NA
GEO020414_10	No	NA
GEO020414_30	No	NA
