Sample	Sampling.Site	Approx.Lat	Approx.Long	Year	Age
YS_121315_01	YSBlock	37	124.6	2016	3
YS_121315_03	YSBlock	37	124.6	2016	3
YS_121315_04	YSBlock	37	124.6	2016	2
YS_121315_07	YSBlock	37	124.6	2016	3
YS_121315_08	YSBlock	37	124.6	2016	2
YS_121315_12	YSBlock	37	124.6	2016	2
YS_121315_13	YSBlock	37	124.6	2016	2
YS_121315_15	YSBlock	37	124.6	2016	2
YS_121315_16	YSBlock	37	124.6	2016	2
YS_121315_17	YSBlock	37	124.6	2016	2
YS_121315_18	YSBlock	37	124.6	2016	2
YS_121315_19	YSBlock	37	124.6	2016	2
YS_121315_20	YSBlock	37	124.6	2016	2
YS_121315_21	YSBlock	37	124.6	2016	2
YS_121315_23	YSBlock	37	124.6	2016	2
YS_121315_27	YSBlock	37	124.6	2016	3
YS_121315_28	YSBlock	37	124.6	2016	2
YS_121315_30	YSBlock	37	124.6	2016	2
PO010715_02	Pohang	36.1	129.5	2015	4
PO010715_04	Pohang	36.1	129.5	2015	3
PO010715_06	Pohang	36.1	129.5	2015	3
PO010715_07	Pohang	36.1	129.5	2015	3
PO010715_08	Pohang	36.1	129.5	2015	4
PO010715_10	Pohang	36.1	129.5	2015	4
PO010715_11	Pohang	36.1	129.5	2015	2
PO010715_12	Pohang	36.1	129.5	2015	3
PO010715_17	Pohang	36.1	129.5	2015	3
PO010715_19	Pohang	36.1	129.5	2015	5
PO010715_27	Pohang	36.1	129.5	2015	2
PO010715_28	Pohang	36.1	129.5	2015	3
PO010715_29	Pohang	36.1	129.5	2015	4
PO020515_01	Pohang	36.1	129.5	2015	4
PO020515_03	Pohang	36.1	129.5	2015	4
PO020515_05	Pohang	36.1	129.5	2015	5
PO020515_06	Pohang	36.1	129.5	2015	4
PO020515_08	Pohang	36.1	129.5	2015	3
PO020515_09	Pohang	36.1	129.5	2015	4
PO020515_10	Pohang	36.1	129.5	2015	3
PO020515_14	Pohang	36.1	129.5	2015	3
PO020515_15	Pohang	36.1	129.5	2015	4
PO020515_16	Pohang	36.1	129.5	2015	4
PO020515_17	Pohang	36.1	129.5	2015	4
PO031715_03	Pohang	36.1	129.5	2015	3
PO031715_04	Pohang	36.1	129.5	2015	2
PO031715_13	Pohang	36.1	129.5	2015	4
PO031715_20	Pohang	36.1	129.5	2015	4
PO031715_23	Pohang	36.1	129.5	2015	2
PO031715_24	Pohang	36.1	129.5	2015	3
GE011215_01	Geoje	34.8	128.7	2015	4
GE011215_07	Geoje	34.8	128.7	2015	4
GE011215_08	Geoje	34.8	128.7	2015	5
GE011215_09	Geoje	34.8	128.7	2015	4
GE011215_10	Geoje	34.8	128.7	2015	5
GE011215_11	Geoje	34.8	128.7	2015	5
GE011215_14	Geoje	34.8	128.7	2015	4
GE011215_15	Geoje	34.8	128.7	2015	4
GE011215_16	Geoje	34.8	128.7	2015	5
GE011215_18	Geoje	34.8	128.7	2015	5
GE011215_19	Geoje	34.8	128.7	2015	5
GE011215_20	Geoje	34.8	128.7	2015	3
GE011215_21	Geoje	34.8	128.7	2015	4
GE011215_22	Geoje	34.8	128.7	2015	2
GE011215_24	Geoje	34.8	128.7	2015	4
GE011215_28	Geoje	34.8	128.7	2015	4
GE011215_29	Geoje	34.8	128.7	2015	5
GE011215_30	Geoje	34.8	128.7	2015	2
GE012315_02	Geoje	34.8	128.7	2015	2
GE012315_03	Geoje	34.8	128.7	2015	2
GE012315_05	Geoje	34.8	128.7	2015	2
GE012315_06	Geoje	34.8	128.7	2015	3
GE012315_08	Geoje	34.8	128.7	2015	3
GE012315_10	Geoje	34.8	128.7	2015	2
GE012315_12	Geoje	34.8	128.7	2015	3
GE012315_17	Geoje	34.8	128.7	2015	5
GE012315_18	Geoje	34.8	128.7	2015	4
GE012315_20	Geoje	34.8	128.7	2015	2
GE012315_21	Geoje	34.8	128.7	2015	3
GE012315_22	Geoje	34.8	128.7	2015	4
NA021015_02	Namhae	34.55	127.9	2015	4
NA021015_03	Namhae	34.55	127.9	2015	3
NA021015_08	Namhae	34.55	127.9	2015	3
NA021015_13	Namhae	34.55	127.9	2015	3
NA021015_14	Namhae	34.55	127.9	2015	5
NA021015_16	Namhae	34.55	127.9	2015	4
NA021015_17	Namhae	34.55	127.9	2015	5
NA021015_21	Namhae	34.55	127.9	2015	3
NA021015_22	Namhae	34.55	127.9	2015	3
NA021015_23	Namhae	34.55	127.9	2015	7
NA021015_25	Namhae	34.55	127.9	2015	4
NA021015_26	Namhae	34.55	127.9	2015	4
NA021015_30	Namhae	34.55	127.9	2015	4
JB121807_03	JinhaeBay	35.05	128.7	2007	4
JB121807_04	JinhaeBay	35.05	128.7	2007	5
JB121807_05	JinhaeBay	35.05	128.7	2007	5
JB121807_08	JinhaeBay	35.05	128.7	2007	3
JB121807_11	JinhaeBay	35.05	128.7	2007	5
JB121807_12	JinhaeBay	35.05	128.7	2007	3
JB121807_14	JinhaeBay	35.05	128.7	2007	2
JB121807_16	JinhaeBay	35.05	128.7	2007	2
JB121807_18	JinhaeBay	35.05	128.7	2007	3
JB121807_19	JinhaeBay	35.05	128.7	2007	4
JB121807_21	JinhaeBay	35.05	128.7	2007	3
JB121807_22	JinhaeBay	35.05	128.7	2007	3
JB121807_23	JinhaeBay	35.05	128.7	2007	2
JB121807_24	JinhaeBay	35.05	128.7	2007	3
JB121807_25	JinhaeBay	35.05	128.7	2007	3
JB121807_26	JinhaeBay	35.05	128.7	2007	3
JB121807_27	JinhaeBay	35.05	128.7	2007	3
JB121807_28	JinhaeBay	35.05	128.7	2007	3
JB121807_29	JinhaeBay	35.05	128.7	2007	4
JB121807_31	JinhaeBay	35.05	128.7	2007	4
JB121807_33	JinhaeBay	35.05	128.7	2007	3
JB121807_34	JinhaeBay	35.05	128.7	2007	4
JB121807_35	JinhaeBay	35.05	128.7	2007	5
JB121807_38	JinhaeBay	35.05	128.7	2007	3
JB121807_39	JinhaeBay	35.05	128.7	2007	2
JB121807_41	JinhaeBay	35.05	128.7	2007	3
JB121807_42	JinhaeBay	35.05	128.7	2007	2
JB121807_44	JinhaeBay	35.05	128.7	2007	3
JB121807_46	JinhaeBay	35.05	128.7	2007	2
JB121807_47	JinhaeBay	35.05	128.7	2007	5
JB021108_02	JinhaeBay	35.05	128.7	2008	4
JB021108_04	JinhaeBay	35.05	128.7	2008	3
JB021108_05	JinhaeBay	35.05	128.7	2008	4
JB021108_06	JinhaeBay	35.05	128.7	2008	2
JB021108_07	JinhaeBay	35.05	128.7	2008	3
