fish_id	gen_id	population
1A	PO010715_02	Pohang_2015
1B	PO010715_04	Pohang_2015
1C	PO010715_06	Pohang_2015
1D	PO010715_07	Pohang_2015
1E	PO010715_08	Pohang_2015
1F	PO010715_10	Pohang_2015
1G	PO010715_11	Pohang_2015
1H	PO010715_12	Pohang_2015
1I	PO010715_17	Pohang_2015
1J	PO010715_19	Pohang_2015
1K	PO010715_27	Pohang_2015
1L	PO010715_28	Pohang_2015
2A	PO010715_29	Pohang_2015
2B	PO020515_01	Pohang_2015
2C	PO020515_03	Pohang_2015
2D	PO020515_05	Pohang_2015
2E	PO020515_06	Pohang_2015
2F	PO020515_08	Pohang_2015
2G	PO020515_09	Pohang_2015
2H	PO020515_10	Pohang_2015
2I	PO020515_14	Pohang_2015
2J	PO020515_15	Pohang_2015
2K	PO020515_16	Pohang_2015
2L	PO020515_17	Pohang_2015
3A	PO031715_03	Pohang_2015
3B	PO031715_04	Pohang_2015
3C	PO031715_13	Pohang_2015
3D	PO031715_20	Pohang_2015
3E	PO031715_23	Pohang_2015
3F	PO031715_24	Pohang_2015
4J	GE011215_01	Geoje_2015
4K	GE011215_07	Geoje_2015
4L	GE011215_08	Geoje_2015
5A	GE011215_09	Geoje_2015
5B	GE011215_10	Geoje_2015
5C	GE011215_11	Geoje_2015
5D	GE011215_14	Geoje_2015
5E	GE011215_15	Geoje_2015
5F	GE011215_16	Geoje_2015
5G	GE011215_18	Geoje_2015
5H	GE011215_19	Geoje_2015
5I	GE011215_20	Geoje_2015
16E	GE011215_21	Geoje_2015
16F	GE011215_22	Geoje_2015
5J	GE011215_24	Geoje_2015
5K	GE011215_28	Geoje_2015
5L	GE011215_29	Geoje_2015
16M	GE011215_30	Geoje_2015
16G	GE012315_01	Geoje_2015
16J	GE012315_02	Geoje_2015
16I	GE012315_03	Geoje_2015
16H	GE012315_04	Geoje_2015
16K	GE012315_05	Geoje_2015
16L	GE012315_06	Geoje_2015
18A	GE012315_08	Geoje_2015
18C	GE012315_10	Geoje_2015
18E	GE012315_12	Geoje_2015
