sample	n_tags	n_loci	p_missing_data	missing_gt20
PO010715_02	49345	6817653	6.136299368	0
PO010715_02_rep	47635	7823165	6.060891696	0
PO010715_04	42139	3432097	6.871524178	0
PO010715_06.1	42334	2473192	9.03006881	0
PO010715_08.1	42276	3106846	7.144876991	0
PO010715_10.1	40860	3309272	8.19115845	0
PO010715_11.1	45945	3495400	6.871524178	0
PO010715_12	47173	3295834	6.692430955	0
PO010715_17.1	41214	4332781	7.15430295	0
PO010715_19.1	42279	2645508	8.172306532	0
PO010715_26	50845	0	5.834668678	0
PO010715_27.1	42324	2937015	8.360825714	0
PO010715_28.1	43835	3255176	7.814120087	0
PO010715_29.1	42478	3110048	8.040343105	0
PO020515_01	42779	2640637	7.126025073	0
PO020515_03.1	42698	3306735	7.295692337	0
PO020515_05.1	41068	3691453	9.44481101	0
PO020515_06	58001	8336214	6.6358752	0
PO020515_08.1	49444	4916525	7.144876991	0
PO020515_09.1	41201	3016815	9.737015741	0
PO020515_10.1	43839	4812537	8.549344896	0
PO020515_14.1	40924	3372281	7.701008578	0
PO020515_15.1	41240	4162902	7.446507682	0
PO020515_16.1	40381	1961294	8.879253464	0
PO020515_17.1	41300	3737101	7.77641625	0
PO031715_03	43593	2722559	6.909228014	0
PO031715_04	50372	3094421	6.541615609	0
PO031715_13.1	40634	2503625	7.606748987	0
PO031715_20.1	44043	2927703	7.597323028	0
PO031715_23	50595	4707310	6.579319446	0
PO031715_24	42149	2820366	6.880950137	0
GE011215_01.1	41749	3807454	7.267414459	0
GE011215_07.1	40008	3631183	9.077198605	0
GE011215_08.1	40593	2076442	9.605052314	0
GE011215_09.1	42604	3758901	7.77641625	0
GE011215_10.1	43484	3440184	7.616174946	0
GE011215_14.1	43878	6549008	7.239136582	0
GE011215_15.1	58773	5694239	7.503063437	0
GE011215_16.1	41680	3791389	8.596474691	0
GE011215_18	48448	6852956	6.711282873	0
GE011215_19	42637	4019476	6.4285041	0
GE011215_20.1	44130	2808032	7.898953719	0
GE011215_21.1	41022	3384807	7.521915355	0
GE011215_22	46085	6470888	6.541615609	0
GE011215_24.1	40194	3134738	7.691582619	0
GE011215_28	43315	3861430	6.654727118	0
GE011215_29.1	38493	2245206	10.92468659	0
GE011215_30.1	43774	4661699	6.353096428	0
GE012315_01.1	38802	2199367	8.964087096	0
GE012315_03.1	40635	3747521	8.9169573	0
GE012315_04.1	42662	2523135	8.615326609	0
GE012315_05.1	42400	3029457	8.379677632	0
GE012315_06.1	42934	3646562	8.096898859	0
GE012315_08.1	40138	2649848	7.286266378	0
GE012315_09.1	43062	3036050	6.654727118	0
GE012315_10.1	40110	2333584	7.587897069	0
GE012315_11.1	43536	3742895	6.287114714	0
GE012315_17.1	40243	3009275	7.484211519	0
GE012315_20.1	40798	3109124	7.135451032	0
GE012315_22.1	39771	3048700	9.831275332	0
GEO012315_02	45012	5152585	7.173154869	0
GEO012315_12	50748	6131307	6.447356018	0
GEO012315_18	46081	4614041	7.314544255	0
GEO012315_21	43632	4819847	7.239136582	0
NA021015_02.1	39816	4039779	9.048920728	0
NA021015_03.1	39565	3086869	9.407107173	0
NA021015_06.1	42551	4864411	7.078895278	0
NA021015_08.1	38231	2468650	10.88698275	0
NA021015_09.1	42121	4076545	6.852672259	0
NA021015_10.1	43403	3142354	7.455933641	0
NA021015_13.1	41183	5022277	8.841549628	0
NA021015_14.1	41928	4147822	7.220284664	0
NA021015_16.1	41856	5291624	7.342822132	0
NA021015_17.1	44151	3504202	7.333396173	0
NA021015_21.1	41187	3800139	7.531341314	0
NA021015_22.1	47830	4137911	7.201432746	0
NA021015_23	42031	2712287	7.267414459	0
NA021015_25	42912	5191269	6.202281082	0
NA021015_26	42438	3817109	6.334244509	0
NA021015_30	42642	3712357	6.485059855	0
YS_121316_01	52423	6316229	6.522763691	0
YS_121316_03	47958	2808906	7.36167405	0
YS_121316_05	126030	6635649	14.33688378	0
YS_121316_13	57302	4409814	6.598171364	0
YS_121316_17	50546	3900580	6.805542464	0
YS_121316_18	100516	5165500	14.15779056	0
YS_121316_20.1	46085	5211971	6.984635687	0
YS_121316_21	50467	5653775	6.362522387	0
YS_121316_22	48474	5677131	6.824394382	0
YS_121316_23	43733	3985378	6.862098218	0
YS_121316_24	55273	6058065	6.390800264	0
YS_121316_25	45126	3211547	7.126025073	0
YS_121316_26	50593	2863848	7.352248091	0
YS_121316_27	122709	4262963	17.4663022	0
YS_121316_28	106348	3981699	18.34291639	0
YS_121316_29	84578	2857842	20.82194363	1
YS121315_08.1	43670	2252448	8.898105382	0
YS121315_10.1	41213	1311987	11.82957866	0
YS121315_12	76264	5791989	8.634178528	0
YS121315_12_300	76604	4038365	10.9906683	0
YS121315_14.1	45860	2885627	7.286266378	0
YS121315_15	55752	4324878	7.305118296	0
YS121315_16	56929	6716657	6.956357809	0
YS121316_30	78995	4335330	7.116599114	0
JUK07_01	43143	3616220	13.53567726	0
JUK07_02.1	49657	8561987	6.494485814	0
JUK07_02_rep.1	42254	3929100	6.607597323	0
JUK07_03	42609	3800860	14.33688378	0
JUK07_06.1	52553	17189641	8.587048732	0
JUK07_09.1	45300	7283224	6.617023282	0
JUK07_09_rep.1	46175	7959380	6.645301159	0
JUK07_14	42885	3822809	14.11066076	0
JUK07_15	46877	6618897	7.936657555	0
JUK07_16.1	42921	6629190	8.19115845	0
JUK07_16_rep.1	42776	5945979	8.285418041	0
JUK07_17	38904	2540837	18.88019606	0
JUK07_18	41448	3931160	13.46026958	0
JUK07_19	45696	4498926	8.558770855	0
JUK07_20	40798	3519086	15.35488736	0
JUK07_22	40916	2968381	16.6368178	0
JUK07_25	36241	2183098	22.78254312	1
JUK07_26	44680	4618372	8.568196814	0
JUK07_27	45383	5317563	8.549344896	0
JUK07_28	39247	2441945	18.79536243	0
JUK07_29.1	45882	9984096	7.192006787	0
JUK07_30	59137	9952413	10.55707418	0
JUK07_32	53827	10988844	11.37713262	0
JUK07_36.1	42942	4837063	8.379677632	0
JUK07_37.1	43197	5751544	8.464511264	0
JB121807_01	40205	2672936	7.455933641	0
JB121807_03.1	40916	2695033	7.682156659	0
JB121807_04.1	25276	626185	37.1194269	1
JB121807_05	41098	1990280	26.40211141	1
JB121807_06.1	39635	2942523	7.446507682	0
JB121807_07.1	323	19953	99.94344425	1
JB121807_08	39891	2592970	7.0506174	0
JB121807_08_rep	39823	2268661	7.427655764	0
JB121807_09.1	24624	612073	43.69874635	1
JB121807_11.1	40578	4079581	6.447356018	0
JB121807_12.1	31315	1220369	25.28042228	1
