sample	num_loci	num_reads
PO010715_02	49345	6817653
PO010715_02_rep	47635	7823165
PO010715_04	42139	3432097
PO010715_06.1	42334	2473192
PO010715_08.1	42276	3106846
PO010715_10.1	40860	3309272
PO010715_11.1	45945	3495400
PO010715_12	47173	3295834
PO010715_17.1	41214	4332781
PO010715_19.1	42279	2645508
PO010715_26	50845	0
PO010715_27.1	42324	2937015
PO010715_28.1	43835	3255176
PO010715_29.1	42478	3110048
PO020515_01	42779	2640637
PO020515_03.1	42698	3306735
PO020515_05.1	41068	3691453
PO020515_06	58001	8336214
PO020515_08.1	49444	4916525
PO020515_09.1	41201	3016815
PO020515_10.1	43839	4812537
PO020515_14.1	40924	3372281
PO020515_15.1	41240	4162902
PO020515_16.1	40381	1961294
PO020515_17.1	41300	3737101
PO031715_03	43593	2722559
PO031715_04	50372	3094421
PO031715_13.1	40634	2503625
PO031715_20.1	44043	2927703
PO031715_23	50595	4707310
PO031715_24	42149	2820366
GE011215_01.1	41749	3807454
GE011215_07.1	40008	3631183
GE011215_08.1	40593	2076442
GE011215_09.1	42604	3758901
GE011215_10.1	43484	3440184
GE011215_14.1	43878	6549008
GE011215_15.1	58773	5694239
GE011215_16.1	41680	3791389
GE011215_18	48448	6852956
GE011215_19	42637	4019476
GE011215_20.1	44130	2808032
GE011215_21.1	41022	3384807
GE011215_22	46085	6470888
GE011215_24.1	40194	3134738
GE011215_28	43315	3861430
GE011215_29.1	38493	2245206
GE011215_30.1	43774	4661699
GE012315_01.1	38802	2199367
GE012315_03.1	40635	3747521
GE012315_04.1	42662	2523135
GE012315_05.1	42400	3029457
GE012315_06.1	42934	3646562
GE012315_08.1	40138	2649848
GE012315_09.1	43062	3036050
GE012315_10.1	40110	2333584
GE012315_11.1	43536	3742895
GE012315_17.1	40243	3009275
GE012315_20.1	40798	3109124
GE012315_22.1	39771	3048700
GEO012315_02	45012	5152585
GEO012315_12	50748	6131307
GEO012315_18	46081	4614041
GEO012315_21	43632	4819847
NA021015_02.1	39816	4039779
NA021015_03.1	39565	3086869
NA021015_06.1	42551	4864411
NA021015_08.1	38231	2468650
NA021015_09.1	42121	4076545
NA021015_10.1	43403	3142354
NA021015_13.1	41183	5022277
NA021015_14.1	41928	4147822
NA021015_16.1	41856	5291624
NA021015_17.1	44151	3504202
