sample	num_loci

JUK07_10	38705
JUK07_13	56947
JUK07_21	46695
JUK07_23	106753
JUK07_34	73002
JUK07_04	44454
JUK07_12	36410
JUK07_31	58714
JUK07_11	46175
YS_121316_04	47082
YS_121316_19	39646
JB121807_10_c	5796
JB121807_13_c	25968
JB121807_22_c	33151
JB121807_26_c	36852
JB121807_36_c	18363
JB021108_21_c	22545
JB021108_27_c	4352
JB021108_24_c	36119
JB121807_39	66147
JB121807_03_rep	45318
JB021108_33_rep	46033
UP03_21	146482
JB121807_05_2	43024
JB121807_35_2	37736
JB121807_47_2	30068
JB021108_11_2	42354
JB021108_28_2	33202
JB021108_40_2	37567
BOR07_01_2	89343
GEO020414_10_2	47115
GEO020414_30_2	42764
NA021015_06_2	68449
NA021015_09_2	66737
UP03_18	77172
YS_121316_21_2	65486
JUK07_06.1_2	64187
GE012315_11_2	77719
JB121807_23_2	38241
JB121807_27_2	41939
JB121807_30_2	47937
JB021108_14_2	38318
YS_121316_20_2	61209
JB121807_16_2	45187
JB021108_25_2	35241
JB021108_31_2	39544
BOR07_21_2	85098
UP03_013	49033
UP03_014	49185
UP03_019	55832
UP03_030	46135
UP03_044	49630
UP03_046	49852
GEO020414_13_2	42833
PO010715_26_2	50699
GE012315_09_2	51018
YS121315_14_2	47452
NA021015_10_2	44398
JB121807_18	40590
JB121807_43	41248
JB121807_29	38759
JB021108_23	37493
YS_121316_07	55000
PO010715_07	59042
JUK07_08	46437
JUK07_33	44432
GE011215_11	46422
JB021108_11_rep	32050
PO010715_07_rep	57375
GE011215_11_rep	45226
