individual	n_missing	p_missing
PO010715_02	154	0.020901194354
PO010715_02_rep	159	0.0215798045603
PO010715_04	187	0.0253800217155
PO010715_06.1	431	0.0584961997828
PO010715_08.1	290	0.0393593919653
PO010715_10.1	247	0.0335233441911
PO010715_11.1	280	0.0380021715527
PO010715_12	191	0.0259229098806
PO010715_17.1	342	0.0464169381107
PO010715_19.1	263	0.0356948968512
PO010715_26	152	0.0206297502714
PO010715_27.1	308	0.0418023887079
PO010715_28.1	263	0.0356948968512
PO010715_29.1	300	0.0407166123779
PO020515_01	220	0.0298588490771
PO020515_03.1	274	0.0371878393051
PO020515_05.1	357	0.0484527687296
PO020515_06	188	0.0255157437568
PO020515_08.1	303	0.0411237785016
PO020515_09.1	424	0.057546145494
PO020515_10.1	308	0.0418023887079
PO020515_14.1	245	0.0332519001086
PO020515_15.1	200	0.0271444082519
PO020515_16.1	264	0.0358306188925
PO020515_17.1	234	0.0317589576547
PO031715_03	188	0.0255157437568
PO031715_04	181	0.024565689468
PO031715_13.1	238	0.0323018458198
PO031715_20.1	410	0.0556460369164
PO031715_23	173	0.0234799131379
PO031715_24	217	0.0294516829533
PO010715_26_2	174	0.0236156351792
PO010715_07	170	0.0230727470141
PO010715_07_rep	166	0.0225298588491
GE011215_01.1	240	0.0325732899023
GE011215_07.1	364	0.0494028230185
GE011215_08.1	500	0.0678610206298
GE011215_09.1	260	0.0352877307275
GE011215_10.1	276	0.0374592833876
GE011215_14.1	231	0.0313517915309
GE011215_15.1	241	0.0327090119435
GE011215_16.1	334	0.0453311617807
GE011215_18	144	0.0195439739414
GE011215_19	177	0.0240228013029
GE011215_20.1	222	0.0301302931596
GE011215_21.1	258	0.035016286645
GE011215_22	156	0.0211726384365
GE011215_24.1	261	0.0354234527687
GE011215_28	161	0.0218512486428
GE011215_29.1	566	0.0768186753529
GE011215_30.1	203	0.0275515743757
GE012315_01.1	428	0.0580890336591
GE012315_03.1	379	0.0514386536374
GE012315_04.1	370	0.050217155266
GE012315_05.1	345	0.0468241042345
GE012315_06.1	274	0.0371878393051
GE012315_08.1	244	0.0331161780673
GE012315_09.1	203	0.0275515743757
GE012315_10.1	270	0.0366449511401
GE012315_11.1	219	0.0297231270358
GE012315_17.1	261	0.0354234527687
GE012315_20.1	238	0.0323018458198
GE012315_22.1	392	0.0532030401737
GEO012315_02	237	0.0321661237785
GEO012315_12	153	0.0207654723127
GEO012315_18	258	0.035016286645
GEO012315_21	237	0.0321661237785
GE012315_11_2	103	0.0139793702497
GE012315_09_2	94	0.0127578718784
GE011215_11	158	0.021444082519
GE011215_11_rep	165	0.0223941368078
NA021015_02.1	348	0.0472312703583
NA021015_03.1	396	0.0537459283388
NA021015_06.1	233	0.0316232356135
NA021015_08.1	514	0.0697611292074
NA021015_09.1	217	0.0294516829533
NA021015_10.1	264	0.0358306188925
NA021015_13.1	269	0.0365092290988
NA021015_14.1	221	0.0299945711183
NA021015_16.1	240	0.0325732899023
NA021015_17.1	245	0.0332519001086
NA021015_21.1	254	0.0344733984799
NA021015_22.1	269	0.0365092290988
NA021015_23	208	0.028230184582
NA021015_25	153	0.0207654723127
NA021015_26	164	0.0222584147666
NA021015_30	148	0.0200868621064
NA021015_06_2	130	0.0176438653637
NA021015_09_2	95	0.0128935939197
NA021015_10_2	190	0.0257871878393
YS_121316_01	173	0.0234799131379
YS_121316_03	278	0.0377307274701
YS_121316_05	378	0.0513029315961
YS_121316_13	188	0.0255157437568
YS_121316_17	186	0.0252442996743
YS_121316_18	533	0.0723398479913
YS_121316_20.1	173	0.0234799131379
YS_121316_21	162	0.021986970684
YS_121316_22	173	0.0234799131379
YS_121316_23	200	0.0271444082519
YS_121316_24	168	0.0228013029316
YS_121316_25	237	0.0321661237785
YS_121316_26	231	0.0313517915309
YS_121316_27	859	0.116585233442
YS_121316_28	970	0.131650380022
YS_121316_29	1252	0.169923995657
YS121315_08.1	349	0.0473669923996
YS121315_10.1	867	0.117671009772
YS121315_12	220	0.0298588490771
YS121315_12_300	430	0.0583604777416
YS121315_14.1	261	0.0354234527687
YS121315_15	240	0.0325732899023
YS121315_16	176	0.0238870792617
YS121316_30	233	0.0316232356135
YS_121316_04	983	0.133414766558
YS_121316_19	1744	0.236699239957
YS_121316_21_2	154	0.020901194354
YS_121316_20_2	174	0.0236156351792
YS121315_14_2	183	0.0248371335505
YS_121316_07	239	0.032437567861
JUK07_01	697	0.0945982627579
JUK07_02.1	164	0.0222584147666
JUK07_02_rep.1	186	0.0252442996743
JUK07_03	692	0.0939196525516
JUK07_06.1	262	0.03555917481
JUK07_09.1	169	0.0229370249729
JUK07_09_rep.1	170	0.0230727470141
JUK07_14	684	0.0928338762215
JUK07_15	216	0.0293159609121
JUK07_16.1	269	0.0365092290988
JUK07_16_rep.1	261	0.0354234527687
JUK07_17	1097	0.148887079262
JUK07_18	639	0.0867263843648
JUK07_19	327	0.0443811074919
JUK07_20	774	0.105048859935
JUK07_22	951	0.129071661238
JUK07_25	1409	0.191232356135
JUK07_26	338	0.0458740499457
JUK07_27	301	0.0408523344191
JUK07_28	1133	0.153773072747
JUK07_29.1	180	0.0244299674267
JUK07_30	182	0.0247014115092
JUK07_32	186	0.0252442996743
JUK07_36.1	284	0.0385450597177
JUK07_37.1	311	0.0422095548317
JUK07_10	2007	0.272394136808
JUK07_13	487	0.0660966340934
JUK07_21	549	0.0745114006515
JUK07_23	317	0.0430238870793
JUK07_34	386	0.0523887079262
JUK07_04	447	0.060667752443
JUK07_12	2222	0.301574375679
JUK07_31	186	0.0252442996743
JUK07_11	404	0.0548317046688
JUK07_06_2	276	0.0374592833876
JUK07_08	169	0.0229370249729
JUK07_33	200	0.0271444082519
JB121807_01	285	0.038680781759
JB121807_03.1	265	0.0359663409338
JB121807_04.1	3084	0.418566775244
JB121807_05	1850	0.25108577633
JB121807_06.1	231	0.0313517915309
JB121807_07.1	7368	1.0
JB121807_08	219	0.0297231270358
JB121807_08_rep	274	0.0371878393051
JB121807_09.1	3659	0.496606948969
JB121807_11.1	170	0.0230727470141
JB121807_12.1	1953	0.26506514658
JB121807_14.1	669	0.0907980456026
JB121807_16.1	2576	0.349619978284
JB121807_19.1	288	0.0390879478827
JB121807_20.1	353	0.0479098805646
JB121807_21.1	824	0.111834961998
JB121807_23	2933	0.398072747014
JB121807_24.1	363	0.0492671009772
JB121807_25	1710	0.232084690554
JB121807_27	1993	0.27049402823
JB121807_28.1	674	0.0914766558089
JB121807_30	1746	0.236970684039
JB121807_31.1	481	0.0652823018458
JB121807_32.1	620	0.0841476655809
JB121807_33.1	671	0.0910694896851
JB121807_34.1	328	0.0445168295331
JB121807_35	4839	0.656758957655
JB121807_37	364	0.0494028230185
JB121807_38.1	677	0.0918838219327
JB121807_41.1	2317	0.314467969598
JB121807_42	1252	0.169923995657
JB121807_44	251	0.0340662323561
JB121807_45.1	3687	0.500407166124
JB121807_46	560	0.0760043431053
JB121807_47	5977	0.811210640608
JB121807_48.1	2212	0.300217155266
JB121807_10_c	6666	0.904723127036
JB121807_13_c	3036	0.412052117264
JB121807_22_c	1616	0.219326818675
JB121807_26_c	1022	0.138707926167
JB121807_36_c	4459	0.605184581976
JB121807_39	208	0.028230184582
JB121807_03_rep	251	0.0340662323561
JB121807_05_2	225	0.0305374592834
JB121807_35_2	1173	0.159201954397
JB121807_47_2	2959	0.401601520087
JB121807_23_2	771	0.104641693811
JB121807_27_2	385	0.0522529858849
JB121807_30_2	325	0.0441096634093
JB121807_16_2	235	0.031894679696
JB121807_18	272	0.0369163952226
JB121807_43	220	0.0298588490771
JB121807_29	531	0.0720684039088
JB021108_01.1	3345	0.453990228013
JB021108_02.1	554	0.0751900108578
JB021108_04.1	1378	0.187024972856
JB021108_05	127	0.01723669924
JB021108_05_rep	124	0.0168295331162
JB021108_06	280	0.0380021715527
JB021108_07.1	319	0.0432953311618
JB021108_08.1	1235	0.167616720955
JB021108_09.1	482	0.0654180238871
JB021108_10.1	3324	0.451140065147
JB021108_11	6146	0.834147665581
JB021108_12.1	230	0.0312160694897
JB021108_13.1	347	0.047095548317
JB021108_14	3162	0.429153094463
JB021108_16	181	0.024565689468
JB021108_17.1	267	0.0362377850163
JB021108_19.1	360	0.0488599348534
JB021108_20	1250	0.169652551574
JB021108_22.1	1160	0.157437567861
JB021108_25.1	2257	0.306324647123
JB021108_26.1	590	0.0800760043431
JB021108_28	3514	0.476927252986
JB021108_29	1063	0.144272529859
JB021108_30	167	0.0226655808903
JB021108_31.1	3927	0.532980456026
JB021108_32	159	0.0215798045603
JB021108_33	4182	0.567589576547
JB021108_34	829	0.112513572204
JB021108_35	1323	0.179560260586
JB021108_35_rep	1078	0.146308360478
JB021108_36.1	224	0.0304017372421
JB021108_36_rep.1	231	0.0313517915309
JB021108_37.1	204	0.0276872964169
JB021108_37_rep.1	208	0.028230184582
JB021108_38.1	1815	0.246335504886
JB021108_39	1056	0.14332247557
JB021108_40	4727	0.641558089034
JB021108_41.1	1143	0.15513029316
JB021108_44.1	204	0.0276872964169
JB021108_45	217	0.0294516829533
JB021108_46.1	149	0.0202225841477
JB021108_46_rep.1	175	0.0237513572204
JB021108_47.1	163	0.0221226927253
JB021108_48.1	419	0.0568675352877
JB021108_21_c	3505	0.475705754615
JB021108_27_c	6741	0.91490228013
JB021108_24_c	1037	0.140743756786
JB021108_33_rep	241	0.0327090119435
JB021108_11_2	315	0.0427524429967
JB021108_28_2	2141	0.290580890337
JB021108_40_2	897	0.12174267101
JB021108_14_2	649	0.0880836047774
JB021108_25_2	1244	0.168838219327
JB021108_31_2	613	0.0831976112921
JB021108_23	715	0.0970412595005
JB021108_11_rep	2327	0.315825190011
BOR07_01	2012	0.273072747014
BOR07_02.1	187	0.0253800217155
BOR07_03	547	0.0742399565689
BOR07_04	177	0.0240228013029
BOR07_05.1	198	0.0268729641694
BOR07_06.1	241	0.0327090119435
BOR07_07.1	155	0.0210369163952
BOR07_08.1	159	0.0215798045603
BOR07_09	197	0.0267372421281
BOR07_10.1	252	0.0342019543974
BOR07_11.1	170	0.0230727470141
BOR07_12.1	210	0.0285016286645
BOR07_13.1	193	0.0261943539631
BOR07_14	168	0.0228013029316
BOR07_15	186	0.0252442996743
BOR07_16	238	0.0323018458198
BOR07_17.1	234	0.0317589576547
BOR07_18	307	0.0416666666667
BOR07_19.1	588	0.0798045602606
BOR07_20.1	192	0.0260586319218
BOR07_21.1	1942	0.263572204126
BOR07_22	184	0.0249728555917
BOR07_01_2	273	0.0370521172638
BOR07_21_2	289	0.039223669924
GEO020414_10	1556	0.2111834962
GEO020414_11	164	0.0222584147666
GEO020414_11_300	182	0.0247014115092
GEO020414_13	7366	0.999728555917
GEO020414_13_300	268	0.0363735070575
GEO020414_14	283	0.0384093376764
GEO020414_14_300	436	0.0591748099891
GEO020414_15	821	0.111427795874
GEO020414_15_300	1211	0.164359391965
GEO020414_16	284	0.0385450597177
GEO020414_16_300	210	0.0285016286645
GEO020414_17	293	0.039766558089
GEO020414_17_300	535	0.0726112920738
GEO020414_2	525	0.0712540716612
GEO020414_23	158	0.021444082519
GEO020414_23_300	162	0.021986970684
GEO020414_24	194	0.0263300760043
GEO020414_24_300	206	0.0279587404995
GEO020414_25	402	0.0545602605863
GEO020414_25_300	912	0.123778501629
GEO020414_26	682	0.092562432139
GEO020414_27	468	0.0635179153094
GEO020414_29	828	0.112377850163
GEO020414_3	265	0.0359663409338
GEO020414_30	2062	0.279858849077
GEO020414_4	214	0.0290445168295
GEO020414_5	424	0.057546145494
GEO020414_6	688	0.0933767643865
GEO020414_7	179	0.0242942453855
GEO020414_8	184	0.0249728555917
GEO020414_8_300	171	0.0232084690554
GEO020414_9	260	0.0352877307275
GEO020414_9_300	262	0.03555917481
GEO020414_10_2	249	0.0337947882736
GEO020414_30_2	498	0.0675895765472
GEO020414_13_2\n	0	0.0
