sample	num_loci

JB121807_01	40205
JB121807_03.1	40916
JB121807_04.1	25276
JB121807_05	41098
JB121807_06.1	39635
JB121807_07.1	323
JB121807_08	39891
JB121807_08_rep	39823
JB121807_09.1	24624
JB121807_11.1	40578
JB121807_12.1	31315
JB121807_14.1	44253
JB121807_16.1	28614
JB121807_19.1	39133
JB121807_20.1	38022
JB121807_21.1	40546
JB121807_23	27384
JB121807_24.1	38250
JB121807_25	32646
JB121807_27	32638
JB121807_28.1	36712
JB121807_30	38564
JB121807_30.1	25593
JB121807_31.1	46046
JB121807_32.1	39924
JB121807_33.1	42703
JB121807_34.1	40224
JB121807_35	19704
JB121807_37	40315
JB121807_38.1	44512
JB121807_41.1	30212
JB121807_42	38087
JB121807_44	46752
JB121807_45.1	23170
JB121807_46	44592
JB121807_47	12791
JB121807_48.1	31888
JB021108_02.1	39603
JB021108_04.1	34195
JB021108_05	44928
JB021108_05_rep	45153
JB021108_06	39548
JB021108_07.1	39501
JB021108_08.1	35704
JB021108_09.1	40054
JB021108_10.1	24751
JB021108_11	9657
JB021108_12.1	42547
JB021108_13.1	39330
JB021108_14	25019
JB021108_16	41411
JB021108_17.1	39082
JB021108_19.1	47079
JB021108_20	35133
JB021108_22.1	36852
JB021108_25.1	29654
JB021108_26.1	39295
JB021108_28	30307
JB021108_29	35810
JB021108_30	41868
JB021108_31.1	21562
JB021108_32	43261
JB021108_33	21559
JB021108_34	37510
JB021108_35	35103
JB021108_35_rep	35784
JB021108_36.1	40764
JB021108_36_rep.1	40399
JB021108_37.1	42003
JB021108_37_rep.1	43021
JB021108_38.1	31890
JB021108_39	38310
JB021108_40	19303
JB021108_41.1	36054
JB021108_44.1	39992
JB021108_45	42958
JB021108_46.1	41314
JB021108_46_rep.1	40150
JB021108_47.1	40470
JB021108_48.1	41270
BOR07_01	60281
BOR07_02.1	48469
BOR07_03	42924
BOR07_04	53362
BOR07_05.1	65655
BOR07_06.1	77686
BOR07_07.1	53584
BOR07_08.1	52289
BOR07_09	53796
BOR07_10.1	55316
BOR07_11.1	58012
BOR07_12.1	55935
BOR07_13.1	44254
BOR07_14	60960
BOR07_15	67386
BOR07_16	45183
BOR07_17.1	49852
BOR07_18	67800
BOR07_19.1	78523
BOR07_20.1	47679
BOR07_21.1	73046
BOR07_22	56172
GEO020414_10	40082
GEO020414_11	47609
GEO020414_11_300	48768
GEO020414_13	63
GEO020414_13_300	46197
GEO020414_14	44362
GEO020414_14_300	43536
GEO020414_15	44147
GEO020414_15_300	43072
GEO020414_16	46030
GEO020414_16_300	46167
GEO020414_17	45604
GEO020414_17_300	44961
GEO020414_2	43774
GEO020414_23	47169
GEO020414_23_300	46313
GEO020414_24	48881
GEO020414_24_300	49526
GEO020414_25	45171
GEO020414_25_300	40832
GEO020414_26	43748
GEO020414_27	45250
GEO020414_29	43748
GEO020414_3	47073
GEO020414_30	37644
GEO020414_4	48862
GEO020414_5	45492
GEO020414_6	43496
GEO020414_7	48981
GEO020414_8	45665
GEO020414_8_300	46074
GEO020414_9	46701
GEO020414_9_300	47196
