locus prob log10(PO) qval alpha fst
10000 0.0837542 -1.03901 0.908356 -0.010180 0.0033526
10004 0.085504 -1.0292 0.90727 -0.014600 0.0033379
10009 0.088404 -1.0133 0.90381 -0.0014904 0.0034028
1001 0.085354 -1.0300 0.90738 -0.013795 0.0033398
10014 0.095405 -0.97688 0.88986 0.0095578 0.0035234
10015 0.085154 -1.0311 0.90752 -0.018402 0.0033139
10019 0.087104 -1.0204 0.90558 -0.0027525 0.0034036
10020 0.086804 -1.0220 0.90592 -0.024477 0.0032954
10023 0.096455 -0.97163 0.88665 0.018782 0.0035511
1003 0.093505 -0.98653 0.89514 0.0069120 0.0035317
10030 0.086404 -1.0242 0.90633 -0.0010429 0.0034193
10037 0.11321 -0.89395 0.84188 0.055051 0.0038611
10040 0.084954 -1.0323 0.90768 -0.024367 0.0032970
10043 0.086204 -1.0253 0.90657 -0.016407 0.0033362
10049 0.085054 -1.0317 0.90762 -0.015900 0.0033358
1005 0.087854 -1.0163 0.90459 0.0023199 0.0034285
10055 0.086604 -1.0231 0.90612 -0.0034528 0.0034073
10056 0.089754 -1.0061 0.90187 0.0023642 0.0034240
10058 0.088154 -1.0147 0.90417 0.0020475 0.0034330
10061 0.087504 -1.0182 0.90505 -0.019152 0.0033226
10068 0.10776 -0.91804 0.85608 0.037823 0.0037240
10070 0.082754 -1.0447 0.90864 -0.024742 0.0032946
10071 0.087004 -1.0209 0.90570 -0.0048522 0.0033922
10078 0.085254 -1.0306 0.90745 -0.021865 0.0033070
10088 0.087304 -1.0193 0.90530 -0.00094682 0.0034118
10089 0.090255 -1.0035 0.90113 0.0072970 0.0034788
10097 0.092505 -0.99168 0.89735 0.00087564 0.0034385
101 0.087254 -1.0196 0.90539 -0.00021822 0.0034202
10100 0.10346 -0.93782 0.86632 0.034039 0.0037022
10101 0.089254 -1.0088 0.90264 -0.00010949 0.0034356
10102 0.086804 -1.0220 0.90592 -0.0092732 0.0033588
10109 0.086454 -1.0239 0.90626 -0.0045072 0.0033945
10112 0.093955 -0.98423 0.89400 0.012739 0.0035564
10115 0.089254 -1.0088 0.90264 0.0067556 0.0034561
1012 0.087104 -1.0204 0.90558 -0.017848 0.0033336
10120 0.088054 -1.0152 0.90431 -0.0040215 0.0034083
10123 0.088404 -1.0133 0.90381 -0.0024259 0.0034108
10127 0.093805 -0.98500 0.89444 0.011624 0.0035590
1013 0.087554 -1.0179 0.90500 0.0081920 0.0034746
10133 0.096155 -0.97312 0.88752 0.013487 0.0035436
10137 0.089404 -1.0080 0.90240 0.00040561 0.0034375
10142 0.086654 -1.0228 0.90606 -0.0032907 0.0033968
10150 0.092405 -0.99220 0.89758 0.0085996 0.0034813
10156 0.093105 -0.98859 0.89609 0.0081745 0.0035520
10158 0.11186 -0.89983 0.84382 0.048444 0.0038803
10160 0.091805 -0.99531 0.89860 0.0069372 0.0035290
10166 0.086004 -1.0264 0.90677 -0.0051595 0.0033900
1017 0.087804 -1.0166 0.90465 0.00016895 0.0034303
10171 0.086904 -1.0215 0.90580 -0.023916 0.0032957
10177 0.087054 -1.0207 0.90563 -0.012559 0.0033550
10178 0.088904 -1.0106 0.90312 -0.0081167 0.0033852
1018 0.085804 -1.0275 0.90697 -0.0048184 0.0033860
10180 0.084404 -1.0353 0.90805 -0.0037259 0.0033904
10183 0.091455 -0.99714 0.89927 0.0034680 0.0034478
10185 0.098055 -0.96371 0.88106 0.0085194 0.0035496
10187 0.093055 -0.98884 0.89617 0.0092598 0.0035282
1019 0.098405 -0.96199 0.88008 0.027704 0.0037023
10195 0.091605 -0.99636 0.89903 0.016360 0.0035217
10198 0.086254 -1.0250 0.90650 -0.020105 0.0033172
10200 0.086104 -1.0259 0.90668 -0.0029342 0.0033941
10201 0.085454 -1.0295 0.90730 -0.013943 0.0033444
10202 0.081104 -1.0542 0.90882 -0.029311 0.0032736
10203 0.083954 -1.0379 0.90828 -0.021719 0.0033159
10221 0.090955 -0.99976 0.90008 -4.6809e-05 0.0034210
10225 0.092955 -0.98936 0.89638 0.0079702 0.0034725
10228 0.093855 -0.98474 0.89427 0.023382 0.0035711
10233 0.095055 -0.97865 0.89105 0.015250 0.0035324
10236 0.092555 -0.99142 0.89724 0.010329 0.0035125
10248 0.088804 -1.0112 0.90326 -0.016758 0.0033306
10249 0.087854 -1.0163 0.90459 -0.0030664 0.0034168
10250 0.085654 -1.0284 0.90712 -0.0090343 0.0033729
10257 0.083154 -1.0424 0.90855 -0.014663 0.0033403
10262 0.091905 -0.99479 0.89845 0.010979 0.0034885
1027 0.10181 -0.94560 0.87096 0.030100 0.0036575
10271 0.090655 -1.0013 0.90048 -0.0061463 0.0033931
10272 0.10241 -0.94276 0.86929 0.034871 0.0036583
10278 0.086704 -1.0226 0.90601 -0.010350 0.0033555
10281 0.084954 -1.0323 0.90768 -0.024788 0.0032938
10283 0.089304 -1.0085 0.90257 -0.0055064 0.0034027
10285 0.091605 -0.99636 0.89903 -0.0061270 0.0033997
10288 0.089654 -1.0066 0.90203 -0.00028573 0.0034134
1030 0.094655 -0.98067 0.89224 0.024236 0.0035846
10303 0.084354 -1.0356 0.90809 -0.013411 0.0033352
10307 0.087954 -1.0158 0.90444 -0.0083867 0.0033814
10312 0.089004 -1.0101 0.90293 0.0027174 0.0034375
10313 0.13986 -0.78889 0.76857 0.12251 0.0047983
10314 0.090305 -1.0032 0.90104 -0.0035793 0.0034033
10315 0.18741 -0.63708 0.66454 0.24190 0.0064898
10319 0.084604 -1.0342 0.90793 -0.0048965 0.0033833
