"V1" "V2"
"1" 10000 0
"2" 10004 0
"3" 1001 0
"4" 10019 0
"5" 10020 0
"6" 10023 0
"7" 1003 0
"8" 10030 0
"9" 10037 0
"10" 10040 0
"11" 10043 0
"12" 10049 0
"13" 1005 0
"14" 10058 0
"15" 10061 0
"16" 10068 0
"17" 10070 0
"18" 10071 0
"19" 10078 0
"20" 10088 0
"21" 10089 0
"22" 101 0
"23" 10100 0
"24" 10101 0
"25" 10102 0
"26" 10109 0
"27" 10112 0
"28" 10115 0
"29" 1012 0
"30" 10120 0
"31" 10123 0
"32" 10127 0
"33" 1013 0
"34" 10133 0
"35" 10137 0
"36" 10142 0
"37" 10150 0
"38" 10156 0
"39" 10158 0
"40" 10160 0
"41" 10166 0
"42" 1017 0
"43" 10171 0
"44" 10177 0
"45" 10178 0
"46" 10183 0
"47" 10185 0
"48" 10187 0
"49" 1019 0
"50" 10195 0
"51" 10198 0
"52" 10200 0
"53" 10201 0
"54" 10202 0
"55" 10203 1
"56" 10225 0
"57" 10228 0
"58" 10233 0
"59" 10236 0
"60" 10248 0
"61" 10249 0
"62" 10250 0
"63" 10257 0
"64" 10262 0
"65" 1027 0
"66" 10271 0
"67" 10272 0
"68" 10278 0
"69" 10281 0
"70" 10283 0
"71" 10285 0
"72" 10288 0
"73" 10303 0
"74" 10307 0
"75" 10312 0
"76" 10313 0
"77" 10314 0
"78" 10319 0
"79" 10329 0
"80" 10342 0
"81" 10345 0
"82" 10347 0
"83" 10352 0
"84" 10355 0
"85" 10366 0
"86" 10368 0
"87" 1037 0
"88" 10376 0
"89" 10379 0
"90" 10381 0
"91" 10387 0
"92" 10388 0
"93" 10390 0
"94" 10392 0
"95" 10395 0
"96" 10396 0
"97" 10398 0
"98" 10404 0
"99" 1041 0
"100" 10413 0
"101" 10419 0
"102" 1042 0
"103" 10428 0
"104" 10429 0
"105" 10434 0
"106" 10440 0
"107" 10445 0
"108" 10452 0
"109" 10460 0
"110" 10464 0
"111" 10466 0
"112" 10477 0
"113" 10478 0
"114" 10484 0
"115" 10492 0
"116" 10498 0
"117" 10500 0
"118" 10504 0
"119" 10505 0
"120" 10508 0
"121" 10512 0
"122" 10513 0
"123" 10515 0
"124" 10516 0
"125" 10517 0
"126" 10520 0
"127" 10521 0
"128" 10529 0
"129" 1053 0
"130" 10542 0
"131" 10548 0
"132" 10553 0
"133" 10562 0
"134" 10564 0
"135" 10567 0
"136" 10569 0
"137" 10571 0
"138" 10579 0
"139" 1058 0
"140" 10587 0
"141" 10589 0
"142" 10591 0
"143" 10592 0
"144" 10598 0
"145" 10604 0
"146" 10605 0
"147" 10624 0
"148" 10631 0
"149" 10635 0
"150" 10637 0
"151" 1064 0
"152" 10648 0
"153" 10654 0
"154" 10661 0
"155" 10664 0
"156" 10682 0
"157" 10689 0
"158" 10692 0
"159" 10693 0
"160" 10704 0
"161" 10706 0
"162" 10711 0
"163" 10715 0
"164" 10719 0
"165" 1072 0
"166" 10721 0
"167" 10727 0
"168" 10730 0
"169" 10734 0
"170" 10740 0
"171" 10743 0
"172" 10753 0
"173" 10763 0
"174" 10770 0
"175" 10771 0
"176" 10772 0
"177" 10774 0
"178" 1078 0
"179" 10783 0
"180" 10786 0
"181" 10790 0
"182" 10794 0
"183" 10800 0
"184" 10801 0
"185" 10817 0
"186" 10822 0
"187" 10823 0
"188" 10824 0
"189" 10830 0
"190" 10831 0
"191" 10834 0
"192" 10843 0
"193" 10845 0
"194" 10850 0
"195" 10858 0
"196" 1086 0
"197" 10862 0
"198" 1087 0
"199" 10875 0
"200" 10885 0
"201" 10887 0
"202" 10888 0
"203" 10891 0
"204" 10894 0
"205" 10895 0
"206" 10897 0
"207" 10898 0
"208" 1090 0
"209" 10904 0
"210" 10909 0
"211" 10914 0
"212" 10915 0
"213" 10917 0
"214" 10921 0
"215" 10923 0
"216" 10926 0
"217" 10927 0
"218" 10931 0
"219" 10932 0
"220" 10936 0
"221" 10937 0
"222" 10942 0
"223" 10948 0
"224" 10949 0
"225" 10953 0
"226" 1096 0
"227" 10964 0
"228" 10967 0
"229" 10970 0
"230" 10974 0
"231" 10975 0
"232" 1098 0
"233" 10980 0
"234" 10995 0
"235" 10997 0
"236" 10998 0
"237" 11 0
"238" 110 0
"239" 11001 0
"240" 1101 0
"241" 11012 0
"242" 11015 0
"243" 11016 0
"244" 1102 0
"245" 11022 0
"246" 11025 0
"247" 11029 0
"248" 11036 0
"249" 11038 0
"250" 11039 0
"251" 1104 0
"252" 11045 0
"253" 11047 0
"254" 11048 0
"255" 11055 0
"256" 11056 0
"257" 11061 0
"258" 11062 0
"259" 11063 0
"260" 11066 0
"261" 1107 0
"262" 11080 0
"263" 11082 0
"264" 11094 0
"265" 11097 0
"266" 11099 0
"267" 111 0
"268" 11107 0
"269" 11109 0
"270" 11114 0
"271" 1112 0
"272" 11129 0
"273" 11131 0
"274" 11135 0
"275" 11138 0
"276" 11139 0
"277" 11145 0
"278" 11152 0
"279" 11153 0
"280" 11154 0
"281" 11155 0
"282" 11157 0
"283" 11159 0
"284" 11160 0
"285" 11163 0
"286" 11164 0
"287" 11165 0
"288" 11166 0
"289" 11168 0
"290" 11173 0
"291" 11177 0
"292" 11184 0
"293" 11190 0
"294" 11191 0
"295" 11193 0
"296" 11200 0
"297" 11201 0
"298" 11202 0
"299" 11203 0
"300" 11204 0
"301" 11209 0
"302" 1121 0
"303" 11214 0
"304" 11218 0
"305" 11219 0
"306" 11220 0
"307" 11222 0
"308" 11223 0
"309" 11229 0
"310" 11230 0
"311" 11233 0
"312" 11236 0
"313" 11249 0
"314" 1125 0
"315" 11253 0
"316" 11254 0
"317" 11262 0
"318" 11265 0
"319" 11275 0
"320" 11276 0
"321" 11280 0
"322" 11285 0
"323" 11288 0
"324" 11291 0
"325" 11292 0
"326" 11294 0
"327" 11299 0
"328" 113 0
"329" 11303 0
"330" 11304 0
"331" 11309 0
"332" 1131 0
"333" 11315 0
"334" 11318 0
"335" 11319 0
"336" 11320 0
"337" 11325 0
"338" 11328 0
"339" 11331 0
"340" 11343 0
"341" 11345 0
"342" 11347 0
"343" 11354 0
"344" 11356 0
"345" 11361 0
"346" 11362 0
"347" 11363 0
"348" 11366 0
"349" 11367 0
"350" 11368 0
"351" 11373 0
"352" 11377 0
"353" 11382 0
"354" 11383 0
"355" 11389 0
"356" 11390 0
"357" 11394 0
"358" 11397 0
"359" 114 0
"360" 1140 0
"361" 11401 0
"362" 11405 0
"363" 1141 0
"364" 11415 0
"365" 11417 0
"366" 11421 0
"367" 11422 0
"368" 11423 0
"369" 11427 0
"370" 11437 0
"371" 11449 0
"372" 11459 0
"373" 1146 0
"374" 11468 0
"375" 11475 0
"376" 11480 0
"377" 11484 0
"378" 11489 0
"379" 11494 0
"380" 11498 0
"381" 115 0
"382" 1150 0
"383" 11500 0
"384" 11505 0
"385" 11506 0
"386" 11507 0
"387" 11510 0
"388" 11517 0
"389" 11520 0
"390" 11531 0
"391" 11532 0
"392" 11535 0
"393" 11536 0
"394" 11537 0
"395" 11539 0
"396" 11542 0
"397" 11543 0
"398" 11545 0
"399" 11549 0
"400" 11557 0
"401" 11560 0
"402" 11568 0
"403" 11577 0
"404" 11579 0
"405" 11589 0
"406" 11591 0
"407" 11593 0
"408" 11594 0
"409" 11597 0
"410" 116 0
"411" 11600 0
"412" 11602 0
"413" 11605 0
"414" 11610 0
"415" 11612 0
"416" 1162 0
"417" 11626 0
"418" 11636 0
"419" 11639 0
"420" 1164 0
"421" 11644 0
"422" 11646 0
"423" 11658 0
"424" 11662 0
"425" 11667 0
"426" 11670 0
"427" 11677 0
"428" 11680 0
"429" 11687 0
"430" 11688 0
"431" 11693 0
"432" 11696 0
"433" 11698 0
"434" 11708 0
"435" 11712 0
"436" 11713 0
"437" 11714 0
"438" 11719 0
"439" 11721 0
"440" 11723 0
"441" 11726 0
"442" 11727 0
"443" 11731 0
"444" 11742 0
"445" 11750 0
"446" 11751 0
"447" 11752 0
"448" 11758 0
"449" 11759 0
"450" 11760 0
"451" 11767 0
"452" 11781 0
"453" 11787 0
"454" 11795 0
"455" 11797 0
"456" 11798 0
"457" 11800 0
"458" 11801 0
"459" 1181 0
"460" 11811 0
"461" 11813 0
"462" 11816 0
"463" 11828 0
"464" 11830 0
"465" 11833 0
"466" 11841 0
"467" 11842 0
"468" 11849 0
"469" 1185 0
"470" 11859 0
"471" 11873 0
"472" 11883 0
"473" 11908 0
"474" 11909 0
"475" 1191 0
"476" 11913 0
"477" 11915 0
"478" 11916 0
"479" 11921 0
"480" 11928 0
"481" 11929 0
"482" 1193 0
"483" 11933 0
"484" 11934 0
"485" 11950 0
"486" 11953 0
"487" 11958 0
"488" 11963 0
"489" 11976 0
"490" 1198 0
"491" 11983 0
"492" 11988 0
"493" 11998 0
"494" 12009 0
"495" 12010 0
"496" 12013 0
"497" 12016 0
"498" 12031 0
"499" 12032 0
"500" 12037 0
"501" 12041 0
"502" 12042 0
"503" 12043 0
"504" 12048 0
"505" 1205 0
"506" 12051 0
"507" 12054 0
"508" 12057 0
"509" 12060 0
"510" 12061 0
"511" 12062 0
"512" 12067 0
"513" 12069 0
"514" 12076 0
"515" 12086 0
"516" 12088 0
"517" 12097 0
"518" 12101 0
"519" 12110 0
"520" 12113 0
"521" 12115 0
"522" 12116 0
"523" 12119 0
"524" 12126 0
"525" 12128 0
"526" 12129 0
"527" 12131 0
"528" 12133 0
"529" 12136 0
"530" 12143 0
"531" 12145 0
"532" 12147 0
"533" 12149 0
"534" 12150 0
"535" 12151 0
"536" 12163 0
"537" 12164 0
"538" 12167 0
"539" 12171 0
"540" 12176 0
"541" 12182 0
"542" 12186 0
"543" 12187 0
"544" 1219 0
"545" 12196 0
"546" 12197 0
"547" 12198 0
"548" 12199 0
"549" 12207 0
"550" 12214 0
"551" 12224 0
"552" 12232 0
"553" 12243 0
"554" 12247 0
"555" 12249 0
"556" 12250 0
"557" 12252 0
"558" 12257 0
"559" 1226 0
"560" 12260 0
"561" 12262 0
"562" 1228 0
"563" 12280 0
"564" 12286 0
"565" 12293 0
"566" 123 0
"567" 12304 0
"568" 12314 0
"569" 12322 0
"570" 12323 0
"571" 12326 0
"572" 12328 0
"573" 12331 0
"574" 12334 0
"575" 12339 0
"576" 12340 0
"577" 12343 0
"578" 12346 0
"579" 12347 0
"580" 1235 0
"581" 12353 0
"582" 12360 0
"583" 12362 0
"584" 12363 0
"585" 12366 0
"586" 12372 0
"587" 12373 0
"588" 12377 0
"589" 1238 0
"590" 12380 0
"591" 12381 0
"592" 12386 0
"593" 1239 0
"594" 12391 0
"595" 12393 0
"596" 12396 0
"597" 12398 0
"598" 12402 0
"599" 12404 0
"600" 12408 0
"601" 12410 0
"602" 12419 0
"603" 1242 0
"604" 12420 0
"605" 1243 0
"606" 12432 0
"607" 12437 0
"608" 1245 0
"609" 12450 0
"610" 12456 0
"611" 12466 0
"612" 12469 0
"613" 12473 0
"614" 12476 0
"615" 12480 0
"616" 12487 0
"617" 1249 0
"618" 12496 0
"619" 12507 0
"620" 12508 0
"621" 12509 0
"622" 1251 0
"623" 12513 0
"624" 12514 0
"625" 12516 0
"626" 12526 0
"627" 12538 0
"628" 12543 0
"629" 12544 0
"630" 12546 0
"631" 12547 0
"632" 12549 0
"633" 12552 0
"634" 12553 0
"635" 12557 0
"636" 1256 0
"637" 12564 0
"638" 12566 0
"639" 12569 0
"640" 1257 0
"641" 12577 0
"642" 12580 0
"643" 12583 0
"644" 12584 0
"645" 12591 0
"646" 12592 0
"647" 12596 0
"648" 12597 0
"649" 12598 0
"650" 12606 0
"651" 12609 0
"652" 1261 0
"653" 12610 0
"654" 12615 0
"655" 12617 0
"656" 12627 0
"657" 12628 0
"658" 12630 0
"659" 12631 0
"660" 12637 0
"661" 12642 0
"662" 12648 0
"663" 12649 0
"664" 12654 0
"665" 12657 0
"666" 12658 0
"667" 12669 0
"668" 12676 0
"669" 12678 0
