locus prob log10(PO) qval alpha fst
10000 0 -1000 0.999795 0.0000 0.0034127
10004 5.0003e-05 -4.3010 0.99976 2.9873e-05 0.0034128
10009 0.00020001 -3.6989 0.99907 -0.00011380 0.0034126
1001 0.00015001 -3.8238 0.99950 7.1024e-05 0.0034133
10014 0.00015001 -3.8238 0.99950 8.6382e-05 0.0034138
10015 0.0000 -1000.0 0.99980 0.0000 0.0034127
10019 0.00010001 -3.9999 0.99967 -0.00017118 0.0034124
10020 0.0000 -1000.0 0.99980 0.0000 0.0034127
10023 0.00010001 -3.9999 0.99967 8.1565e-05 0.0034132
1003 5.0003e-05 -4.3010 0.99976 -2.7804e-06 0.0034127
10030 0.00035002 -3.4558 0.98367 1.5878e-05 0.0034132
10037 0.00025001 -3.6019 0.99787 -2.4779e-06 0.0034131
10040 0.00025001 -3.6019 0.99787 -0.00018350 0.0034124
10043 0.00015001 -3.8238 0.99950 -0.00021307 0.0034123
10049 5.0003e-05 -4.3010 0.99976 -4.0967e-05 0.0034126
1005 0.00010001 -3.9999 0.99967 8.6816e-06 0.0034127
10055 0.00025001 -3.6019 0.99787 5.7569e-05 0.0034135
10056 0.00025001 -3.6019 0.99787 -0.00014241 0.0034124
10058 5.0003e-05 -4.3010 0.99976 2.5666e-05 0.0034128
10061 5.0003e-05 -4.3010 0.99976 3.6381e-06 0.0034127
10068 5.0003e-05 -4.3010 0.99976 2.5711e-05 0.0034128
10070 0.00010001 -3.9999 0.99967 -0.00014443 0.0034124
10071 0.00015001 -3.8238 0.99950 -7.8934e-06 0.0034127
10078 0.00015001 -3.8238 0.99950 -6.1885e-05 0.0034125
10088 0.00010001 -3.9999 0.99967 -4.8460e-05 0.0034127
10089 0.00010001 -3.9999 0.99967 -2.6878e-05 0.0034126
10097 0.0000 -1000.0 0.99980 0.0000 0.0034127
101 0.0000 -1000.0 0.99980 0.0000 0.0034127
10100 0.00020001 -3.6989 0.99907 0.00029146 0.0034152
10101 5.0003e-05 -4.3010 0.99976 3.2851e-06 0.0034127
10102 0.0000 -1000.0 0.99980 0.0000 0.0034127
10109 0.00010001 -3.9999 0.99967 -1.3533e-05 0.0034127
10112 0.00015001 -3.8238 0.99950 -5.3420e-05 0.0034125
10115 0.00015001 -3.8238 0.99950 2.9270e-05 0.0034132
1012 0.00015001 -3.8238 0.99950 -0.00011911 0.0034124
10120 0.00020001 -3.6989 0.99907 0.00016039 0.0034137
10123 0.00010001 -3.9999 0.99967 8.0550e-05 0.0034132
10127 0.00010001 -3.9999 0.99967 1.7395e-05 0.0034127
1013 0.00010001 -3.9999 0.99967 -0.00018154 0.0034125
10133 0.00015001 -3.8238 0.99950 -4.2733e-05 0.0034129
10137 0.00010001 -3.9999 0.99967 -4.8998e-05 0.0034126
10142 5.0003e-05 -4.3010 0.99976 9.7135e-05 0.0034136
10150 5.0003e-05 -4.3010 0.99976 1.3108e-05 0.0034127
10156 0.0000 -1000.0 0.99980 0.0000 0.0034127
10158 0.00010001 -3.9999 0.99967 -1.6214e-05 0.0034126
10160 5.0003e-05 -4.3010 0.99976 2.4708e-05 0.0034128
10166 0.00020001 -3.6989 0.99907 -9.8191e-06 0.0034128
1017 0.00020001 -3.6989 0.99907 3.8248e-05 0.0034131
10171 0.00020001 -3.6989 0.99907 0.00015308 0.0034140
10177 0.00020001 -3.6989 0.99907 -6.5688e-05 0.0034126
10178 0.00015001 -3.8238 0.99950 3.6994e-05 0.0034129
1018 0.0000 -1000.0 0.99980 0.0000 0.0034127
10180 0.00010001 -3.9999 0.99967 5.1484e-05 0.0034129
10183 0.00025001 -3.6019 0.99787 0.00013309 0.0034137
10185 0.0000 -1000.0 0.99980 0.0000 0.0034127
10187 5.0003e-05 -4.3010 0.99976 0.00012344 0.0034143
1019 5.0003e-05 -4.3010 0.99976 -6.2138e-05 0.0034125
10195 0.00010001 -3.9999 0.99967 -2.5547e-05 0.0034128
10198 0.00010001 -3.9999 0.99967 -5.1287e-05 0.0034125
10200 5.0003e-05 -4.3010 0.99976 -4.6530e-05 0.0034126
10201 0.00010001 -3.9999 0.99967 -7.3523e-05 0.0034125
10202 0.00015001 -3.8238 0.99950 9.4682e-05 0.0034134
10203 0.00015001 -3.8238 0.99950 -2.6762e-06 0.0034128
10221 5.0003e-05 -4.3010 0.99976 -6.0177e-05 0.0034126
10225 5.0003e-05 -4.3010 0.99976 5.8354e-06 0.0034127
10228 0.00010001 -3.9999 0.99967 -5.1558e-05 0.0034125
10233 0.00010001 -3.9999 0.99967 1.6469e-06 0.0034128
10236 0.00020001 -3.6989 0.99907 -0.00013508 0.0034125
10248 0.0000 -1000.0 0.99980 0.0000 0.0034127
10249 0.00010001 -3.9999 0.99967 2.2751e-05 0.0034128
10250 0.00030002 -3.5227 0.99411 -7.6333e-05 0.0034127
10257 0.0000 -1000.0 0.99980 0.0000 0.0034127
10262 0.00015001 -3.8238 0.99950 -3.7131e-05 0.0034126
1027 5.0003e-05 -4.3010 0.99976 -2.2295e-05 0.0034126
10271 0.00010001 -3.9999 0.99967 -8.1276e-05 0.0034125
10272 0.00025001 -3.6019 0.99787 0.00019623 0.0034139
10278 5.0003e-05 -4.3010 0.99976 -9.1486e-05 0.0034125
10281 5.0003e-05 -4.3010 0.99976 -2.9622e-05 0.0034126
10283 5.0003e-05 -4.3010 0.99976 -8.1391e-05 0.0034125
10285 0.00010001 -3.9999 0.99967 6.2098e-05 0.0034136
10288 5.0003e-05 -4.3010 0.99976 -6.4542e-06 0.0034127
1030 0.00025001 -3.6019 0.99787 -0.00015754 0.0034127
10303 0.00015001 -3.8238 0.99950 -1.6542e-05 0.0034129
10307 0.00010001 -3.9999 0.99967 -1.4177e-05 0.0034128
10312 0.00020001 -3.6989 0.99907 7.9306e-05 0.0034132
10313 0.00020001 -3.6989 0.99907 0.00014582 0.0034144
10314 5.0003e-05 -4.3010 0.99976 -1.6496e-05 0.0034126
10315 0.00020001 -3.6989 0.99907 0.00015284 0.0034137
10319 0.00020001 -3.6989 0.99907 0.00015302 0.0034135
10329 0.00015001 -3.8238 0.99950 -0.00018208 0.0034124
10341 5.0003e-05 -4.3010 0.99976 6.9206e-07 0.0034127
10342 0.00015001 -3.8238 0.99950 2.3204e-05 0.0034128
10344 0.00010001 -3.9999 0.99967 4.9942e-06 0.0034127
10345 0.0000 -1000.0 0.99980 0.0000 0.0034127
10347 5.0003e-05 -4.3010 0.99976 0.00010428 0.0034139
10352 0.00010001 -3.9999 0.99967 6.7199e-05 0.0034130
10355 0.00015001 -3.8238 0.99950 -4.6721e-05 0.0034126
10364 0.00020001 -3.6989 0.99907 -6.6324e-05 0.0034131
10366 0.00010001 -3.9999 0.99967 6.4227e-05 0.0034130
10368 5.0003e-05 -4.3010 0.99976 -5.6035e-06 0.0034127
1037 0.0000 -1000.0 0.99980 0.0000 0.0034127
10373 0.00015001 -3.8238 0.99950 0.00012696 0.0034136
10376 0.00010001 -3.9999 0.99967 7.7528e-06 0.0034128
10379 5.0003e-05 -4.3010 0.99976 7.6736e-06 0.0034127
10381 5.0003e-05 -4.3010 0.99976 -9.9935e-05 0.0034125
10387 0.00010001 -3.9999 0.99967 3.7127e-06 0.0034127
10388 5.0003e-05 -4.3010 0.99976 -2.2842e-06 0.0034127
10390 5.0003e-05 -4.3010 0.99976 -3.2058e-05 0.0034126
10392 0.00020001 -3.6989 0.99907 2.0174e-06 0.0034133
10395 0.0000 -1000.0 0.99980 0.0000 0.0034127
10396 0.00010001 -3.9999 0.99967 -4.8887e-05 0.0034126
10398 0.00025001 -3.6019 0.99787 4.8054e-05 0.0034133
10404 0.00025001 -3.6019 0.99787 -0.00017124 0.0034124
1041 5.0003e-05 -4.3010 0.99976 -4.4237e-05 0.0034126
10413 0.00015001 -3.8238 0.99950 2.3077e-05 0.0034128
10419 0.00010001 -3.9999 0.99967 3.7833e-05 0.0034129
1042 0.00010001 -3.9999 0.99967 2.6257e-05 0.0034128
10429 0.00010001 -3.9999 0.99967 -6.3875e-05 0.0034125
10434 0.00020001 -3.6989 0.99907 -9.9204e-05 0.0034124
10440 0.0000 -1000.0 0.99980 0.0000 0.0034127
10445 0.0000 -1000.0 0.99980 0.0000 0.0034127
10452 0.00020001 -3.6989 0.99907 -2.6731e-05 0.0034128
10460 5.0003e-05 -4.3010 0.99976 -2.9250e-06 0.0034127
10464 0.00015001 -3.8238 0.99950 -2.2514e-06 0.0034129
10466 5.0003e-05 -4.3010 0.99976 5.5296e-05 0.0034130
10467 5.0003e-05 -4.3010 0.99976 3.2100e-06 0.0034127
10474 0.00015001 -3.8238 0.99950 6.6773e-05 0.0034137
10477 0.00010001 -3.9999 0.99967 -3.0062e-06 0.0034127
10478 0.0000 -1000.0 0.99980 0.0000 0.0034127
10484 0.0000 -1000.0 0.99980 0.0000 0.0034127
10486 0.0000 -1000.0 0.99980 0.0000 0.0034127
10490 5.0003e-05 -4.3010 0.99976 -3.9067e-05 0.0034126
10492 5.0003e-05 -4.3010 0.99976 1.3113e-05 0.0034127
10498 0.00010001 -3.9999 0.99967 -0.00010331 0.0034125
10500 5.0003e-05 -4.3010 0.99976 -3.0550e-05 0.0034126
10504 5.0003e-05 -4.3010 0.99976 -3.1163e-06 0.0034127
10505 0.00010001 -3.9999 0.99967 -6.8393e-06 0.0034127
10508 0.00010001 -3.9999 0.99967 1.7830e-05 0.0034127
10512 0.00010001 -3.9999 0.99967 -1.3232e-05 0.0034127
10513 0.0000 -1000.0 0.99980 0.0000 0.0034127
10515 0.00015001 -3.8238 0.99950 2.5620e-06 0.0034128
10516 5.0003e-05 -4.3010 0.99976 1.3857e-05 0.0034127
10517 0.00010001 -3.9999 0.99967 -5.8316e-06 0.0034127
10520 0.00015001 -3.8238 0.99950 -4.5727e-05 0.0034126
10521 5.0003e-05 -4.3010 0.99976 -2.3962e-05 0.0034126
10527 0.00015001 -3.8238 0.99950 -3.8783e-05 0.0034128
10529 5.0003e-05 -4.3010 0.99976 7.4589e-05 0.0034133
1053 0.00010001 -3.9999 0.99967 0.00011587 0.0034141
10542 0.00010001 -3.9999 0.99967 0.00015898 0.0034140
10548 0.00015001 -3.8238 0.99950 -1.5243e-05 0.0034127
10553 5.0003e-05 -4.3010 0.99976 -4.8765e-05 0.0034126
10562 0.00030002 -3.5227 0.99411 0.00027463 0.0034167
10564 5.0003e-05 -4.3010 0.99976 2.6372e-05 0.0034128
10565 0.00020001 -3.6989 0.99907 -5.4478e-05 0.0034127
10567 0.00010001 -3.9999 0.99967 0.00014240 0.0034138
10569 0.00010001 -3.9999 0.99967 1.6255e-05 0.0034127
1057 0.00015001 -3.8238 0.99950 8.8679e-05 0.0034133
10571 0.00010001 -3.9999 0.99967 -7.4835e-05 0.0034125
10579 5.0003e-05 -4.3010 0.99976 -0.00013270 0.0034125
1058 5.0003e-05 -4.3010 0.99976 4.0206e-05 0.0034129
10587 0.00015001 -3.8238 0.99950 2.1768e-05 0.0034128
10589 0.00015001 -3.8238 0.99950 -2.4113e-05 0.0034127
10591 0.00010001 -3.9999 0.99967 -2.7285e-05 0.0034127
10592 0.0000 -1000.0 0.99980 0.0000 0.0034127
10598 0.0000 -1000.0 0.99980 0.0000 0.0034127
10604 0.00020001 -3.6989 0.99907 8.1357e-05 0.0034131
10605 0.0000 -1000.0 0.99980 0.0000 0.0034127
10607 0.0000 -1000.0 0.99980 0.0000 0.0034127
10620 0.0000 -1000.0 0.99980 0.0000 0.0034127
10624 0.00020001 -3.6989 0.99907 -6.6863e-05 0.0034129
10631 0.00010001 -3.9999 0.99967 9.6641e-05 0.0034132
10635 5.0003e-05 -4.3010 0.99976 -6.4608e-06 0.0034127
10637 0.0000 -1000.0 0.99980 0.0000 0.0034127
1064 0.00010001 -3.9999 0.99967 0.00010477 0.0034133
10640 0.00010001 -3.9999 0.99967 -7.8137e-05 0.0034125
10648 5.0003e-05 -4.3010 0.99976 -3.9667e-05 0.0034126
10654 0.0000 -1000.0 0.99980 0.0000 0.0034127
10660 0.00025001 -3.6019 0.99787 -2.2909e-05 0.0034141
10661 0.00010001 -3.9999 0.99967 -3.9309e-05 0.0034127
10662 5.0003e-05 -4.3010 0.99976 4.3384e-05 0.0034129
10664 0.00010001 -3.9999 0.99967 1.0388e-05 0.0034128
10665 5.0003e-05 -4.3010 0.99976 -7.0212e-06 0.0034126
10682 0.00010001 -3.9999 0.99967 -0.00011188 0.0034125
10689 0.00015001 -3.8238 0.99950 8.2476e-05 0.0034132
10692 0.0000 -1000.0 0.99980 0.0000 0.0034127
10693 0.0000 -1000.0 0.99980 0.0000 0.0034127
10700 5.0003e-05 -4.3010 0.99976 1.5213e-05 0.0034127
10704 0.00015001 -3.8238 0.99950 0.00010430 0.0034136
10706 0.00015001 -3.8238 0.99950 7.4524e-05 0.0034130
1071 0.00010001 -3.9999 0.99967 -1.0930e-05 0.0034129
10711 0.0000 -1000.0 0.99980 0.0000 0.0034127
10715 0.0000 -1000.0 0.99980 0.0000 0.0034127
10719 5.0003e-05 -4.3010 0.99976 -2.1262e-06 0.0034127
1072 0.00020001 -3.6989 0.99907 -6.1340e-05 0.0034126
10721 0.00015001 -3.8238 0.99950 -3.9590e-05 0.0034128
10727 0.00015001 -3.8238 0.99950 -2.5073e-05 0.0034127
10730 0.00020001 -3.6989 0.99907 -8.1317e-05 0.0034125
10734 0.00010001 -3.9999 0.99967 2.8495e-05 0.0034134
10743 0.00020001 -3.6989 0.99907 -0.00010490 0.0034124
10752 5.0003e-05 -4.3010 0.99976 -6.6779e-05 0.0034125
10753 0.00010001 -3.9999 0.99967 -2.7901e-05 0.0034126
10763 5.0003e-05 -4.3010 0.99976 -2.6361e-05 0.0034126
10770 0.00020001 -3.6989 0.99907 9.3655e-05 0.0034135
10771 0.00010001 -3.9999 0.99967 -0.00011596 0.0034125
10772 0.00010001 -3.9999 0.99967 -0.00010502 0.0034125
10774 5.0003e-05 -4.3010 0.99976 -4.3110e-06 0.0034127
10783 0.00020001 -3.6989 0.99907 -0.00013141 0.0034124
10786 0.00020001 -3.6989 0.99907 -0.00015970 0.0034124
10790 0.00015001 -3.8238 0.99950 6.1065e-05 0.0034130
10794 0.00020001 -3.6989 0.99907 -4.5452e-05 0.0034126
10800 0.0000 -1000.0 0.99980 0.0000 0.0034127
10801 0.00020001 -3.6989 0.99907 -0.00020479 0.0034123
10807 0.00010001 -3.9999 0.99967 -4.3623e-05 0.0034126
10817 0.00020001 -3.6989 0.99907 -3.6937e-06 0.0034133
10822 0.0000 -1000.0 0.99980 0.0000 0.0034127
10823 0.00020001 -3.6989 0.99907 -4.4347e-05 0.0034127
10824 5.0003e-05 -4.3010 0.99976 -0.00015694 0.0034125
10830 5.0003e-05 -4.3010 0.99976 7.2792e-05 0.0034132
10831 0.00015001 -3.8238 0.99950 0.00010475 0.0034133
10832 0.00015001 -3.8238 0.99950 -0.00013361 0.0034124
10834 5.0003e-05 -4.3010 0.99976 1.8843e-05 0.0034127
10843 0.00015001 -3.8238 0.99950 9.3961e-05 0.0034132
10850 5.0003e-05 -4.3010 0.99976 -5.9766e-05 0.0034126
10858 0.00010001 -3.9999 0.99967 6.9291e-05 0.0034130
1086 0.00025001 -3.6019 0.99787 -1.7499e-05 0.0034127
10862 0.00010001 -3.9999 0.99967 5.4687e-05 0.0034130
1087 0.00015001 -3.8238 0.99950 -0.00010301 0.0034127
10875 0.00020001 -3.6989 0.99907 -5.4154e-05 0.0034127
10877 0.0000 -1000.0 0.99980 0.0000 0.0034127
10885 0.00010001 -3.9999 0.99967 -5.5211e-05 0.0034126
10887 0.00015001 -3.8238 0.99950 -9.8583e-05 0.0034125
10888 0.00010001 -3.9999 0.99967 -2.2523e-05 0.0034127
10891 5.0003e-05 -4.3010 0.99976 6.9613e-06 0.0034127
10894 0.00015001 -3.8238 0.99950 -3.4971e-05 0.0034126
10895 0.00010001 -3.9999 0.99967 -2.5174e-05 0.0034127
10897 5.0003e-05 -4.3010 0.99976 -6.9619e-05 0.0034125
10898 5.0003e-05 -4.3010 0.99976 -5.7292e-05 0.0034126
1090 5.0003e-05 -4.3010 0.99976 -0.00010765 0.0034125
10904 0.00010001 -3.9999 0.99967 2.6348e-05 0.0034128
10909 0.0000 -1000.0 0.99980 0.0000 0.0034127
10914 5.0003e-05 -4.3010 0.99976 2.3661e-05 0.0034128
10915 0.00010001 -3.9999 0.99967 8.7554e-05 0.0034131
10917 0.00015001 -3.8238 0.99950 -1.7981e-05 0.0034129
10921 0.00020001 -3.6989 0.99907 4.6130e-06 0.0034133
10923 0.00015001 -3.8238 0.99950 -0.00011515 0.0034124
10926 0.00020001 -3.6989 0.99907 -2.3131e-05 0.0034128
10927 5.0003e-05 -4.3010 0.99976 -5.4265e-05 0.0034126
10931 5.0003e-05 -4.3010 0.99976 -2.7332e-05 0.0034126
10932 0.00010001 -3.9999 0.99967 0.00015209 0.0034141
10936 0.00020001 -3.6989 0.99907 8.4091e-05 0.0034132
10937 0.00020001 -3.6989 0.99907 -1.9685e-06 0.0034128
10941 0.00025001 -3.6019 0.99787 0.00012295 0.0034137
10942 0.00015001 -3.8238 0.99950 4.5510e-05 0.0034129
10948 0.00010001 -3.9999 0.99967 -0.00011408 0.0034125
10949 5.0003e-05 -4.3010 0.99976 -4.8206e-06 0.0034127
10953 5.0003e-05 -4.3010 0.99976 1.3237e-05 0.0034127
1096 0.00015001 -3.8238 0.99950 -6.5547e-05 0.0034125
10964 0.00010001 -3.9999 0.99967 0.00015165 0.0034138
10967 0.00015001 -3.8238 0.99950 -8.4354e-06 0.0034128
10970 5.0003e-05 -4.3010 0.99976 1.3426e-06 0.0034127
10974 5.0003e-05 -4.3010 0.99976 1.7046e-06 0.0034127
10975 5.0003e-05 -4.3010 0.99976 4.6094e-05 0.0034129
1098 0.00020001 -3.6989 0.99907 -0.00010740 0.0034126
10980 0.00010001 -3.9999 0.99967 3.1569e-05 0.0034128
10995 5.0003e-05 -4.3010 0.99976 -5.6493e-05 0.0034126
10997 0.0000 -1000.0 0.99980 0.0000 0.0034127
10998 0.00015001 -3.8238 0.99950 -3.0647e-05 0.0034127
11 0.00010001 -3.9999 0.99967 -4.9157e-05 0.0034126
110 0.00010001 -3.9999 0.99967 8.8273e-05 0.0034132
11001 0.00010001 -3.9999 0.99967 6.5934e-05 0.0034134
1101 0.00030002 -3.5227 0.99411 -1.0175e-05 0.0034128
11012 0.00015001 -3.8238 0.99950 4.4867e-05 0.0034129
11015 5.0003e-05 -4.3010 0.99976 -5.8110e-06 0.0034127
11016 0.00015001 -3.8238 0.99950 4.8010e-05 0.0034132
1102 0.00010001 -3.9999 0.99967 7.5490e-05 0.0034131
11022 0.00025001 -3.6019 0.99787 3.9743e-05 0.0034131
11025 5.0003e-05 -4.3010 0.99976 -3.3832e-05 0.0034126
11036 0.00010001 -3.9999 0.99967 8.9843e-06 0.0034128
11038 0.0000 -1000.0 0.99980 0.0000 0.0034127
11039 0.00010001 -3.9999 0.99967 3.8442e-05 0.0034129
1104 0.00010001 -3.9999 0.99967 3.2453e-05 0.0034128
11045 0.00010001 -3.9999 0.99967 -1.0493e-05 0.0034126
11047 0.00015001 -3.8238 0.99950 3.8658e-05 0.0034130
11048 0.0000 -1000.0 0.99980 0.0000 0.0034127
11053 0.00015001 -3.8238 0.99950 -2.8182e-06 0.0034127
11055 0.00010001 -3.9999 0.99967 -7.2828e-06 0.0034127
11056 0.00010001 -3.9999 0.99967 -1.8500e-05 0.0034127
11060 0.0000 -1000.0 0.99980 0.0000 0.0034127
11061 0.00010001 -3.9999 0.99967 2.9733e-05 0.0034128
11062 0.00015001 -3.8238 0.99950 -5.4680e-05 0.0034125
11063 5.0003e-05 -4.3010 0.99976 3.1231e-06 0.0034127
11066 5.0003e-05 -4.3010 0.99976 -7.5911e-06 0.0034126
1107 0.00015001 -3.8238 0.99950 4.8751e-05 0.0034132
11080 0.00010001 -3.9999 0.99967 4.3797e-05 0.0034136
11082 0.00015001 -3.8238 0.99950 -3.9100e-05 0.0034127
11094 0.0000 -1000.0 0.99980 0.0000 0.0034127
11097 0.0000 -1000.0 0.99980 0.0000 0.0034127
11099 5.0003e-05 -4.3010 0.99976 -0.00010573 0.0034125
111 0.00020001 -3.6989 0.99907 6.3172e-05 0.0034131
11107 0.00015001 -3.8238 0.99950 4.5374e-05 0.0034133
11109 0.00030002 -3.5227 0.99411 4.5213e-05 0.0034130
11114 0.00010001 -3.9999 0.99967 0.00013572 0.0034136
1112 0.00010001 -3.9999 0.99967 5.9141e-05 0.0034134
11129 0.00010001 -3.9999 0.99967 -2.3056e-05 0.0034128
11131 5.0003e-05 -4.3010 0.99976 -3.0224e-05 0.0034126
11135 0.00015001 -3.8238 0.99950 0.00012521 0.0034135
11138 0.00020001 -3.6989 0.99907 -0.00013504 0.0034125
11139 5.0003e-05 -4.3010 0.99976 -4.2597e-05 0.0034126
11145 0.00010001 -3.9999 0.99967 -4.3523e-06 0.0034128
11152 0.00010001 -3.9999 0.99967 -9.8114e-05 0.0034125
11153 0.00010001 -3.9999 0.99967 1.6963e-05 0.0034131
11154 0.00010001 -3.9999 0.99967 1.8714e-05 0.0034129
11155 5.0003e-05 -4.3010 0.99976 -2.5591e-05 0.0034126
11156 5.0003e-05 -4.3010 0.99976 2.2742e-05 0.0034128
11157 0.00010001 -3.9999 0.99967 -0.00011614 0.0034125
11159 5.0003e-05 -4.3010 0.99976 -1.1496e-05 0.0034126
11160 0.0000 -1000.0 0.99980 0.0000 0.0034127
11163 0.00010001 -3.9999 0.99967 0.00010835 0.0034133
11164 0.00010001 -3.9999 0.99967 -2.8933e-06 0.0034127
11165 5.0003e-05 -4.3010 0.99976 -3.9258e-05 0.0034126
11166 0.00025001 -3.6019 0.99787 -6.1788e-05 0.0034127
11167 0.00015001 -3.8238 0.99950 8.6347e-05 0.0034132
11168 0.0000 -1000.0 0.99980 0.0000 0.0034127
11173 0.00020001 -3.6989 0.99907 -6.2539e-05 0.0034125
11177 0.0000 -1000.0 0.99980 0.0000 0.0034127
11184 0.00010001 -3.9999 0.99967 -4.2635e-05 0.0034127
11190 0.0000 -1000.0 0.99980 0.0000 0.0034127
11191 0.0000 -1000.0 0.99980 0.0000 0.0034127
11193 0.00020001 -3.6989 0.99907 -9.8879e-05 0.0034125
11200 0.00010001 -3.9999 0.99967 0.00010666 0.0034138
11201 5.0003e-05 -4.3010 0.99976 -2.0442e-05 0.0034126
11202 5.0003e-05 -4.3010 0.99976 -2.1684e-05 0.0034126
11203 5.0003e-05 -4.3010 0.99976 -3.1534e-05 0.0034126
11204 5.0003e-05 -4.3010 0.99976 -4.8394e-05 0.0034126
11209 0.00015001 -3.8238 0.99950 0.00030958 0.0034163
1121 0.0000 -1000.0 0.99980 0.0000 0.0034127
11214 0.0000 -1000.0 0.99980 0.0000 0.0034127
11218 0.00015001 -3.8238 0.99950 -6.8033e-05 0.0034125
11219 0.00020001 -3.6989 0.99907 6.5951e-05 0.0034130
11220 0.00010001 -3.9999 0.99967 5.9490e-06 0.0034127
11222 0.00010001 -3.9999 0.99967 9.0450e-05 0.0034133
11223 0.00010001 -3.9999 0.99967 -0.00013723 0.0034124
11229 0.00010001 -3.9999 0.99967 5.0449e-05 0.0034131
11230 0.00015001 -3.8238 0.99950 -8.1317e-06 0.0034127
11233 0.0000 -1000.0 0.99980 0.0000 0.0034127
11236 0.00030002 -3.5227 0.99411 7.1567e-05 0.0034132
11249 0.00015001 -3.8238 0.99950 -0.00017409 0.0034124
1125 0.00015001 -3.8238 0.99950 -2.4274e-06 0.0034127
11253 0.00010001 -3.9999 0.99967 -4.4207e-05 0.0034126
11254 0.00015001 -3.8238 0.99950 -8.2193e-06 0.0034127
11262 0.0000 -1000.0 0.99980 0.0000 0.0034127
11265 0.0000 -1000.0 0.99980 0.0000 0.0034127
11275 5.0003e-05 -4.3010 0.99976 9.8909e-06 0.0034127
11276 0.0000 -1000.0 0.99980 0.0000 0.0034127
11280 0.00015001 -3.8238 0.99950 -7.6145e-05 0.0034125
11285 5.0003e-05 -4.3010 0.99976 -2.2659e-06 0.0034127
11286 5.0003e-05 -4.3010 0.99976 -1.1875e-05 0.0034126
11288 0.00010001 -3.9999 0.99967 8.3402e-05 0.0034132
11291 0.00010001 -3.9999 0.99967 -0.00010890 0.0034124
11292 0.00015001 -3.8238 0.99950 -0.00018602 0.0034124
11294 0.00010001 -3.9999 0.99967 3.4650e-05 0.0034128
11299 0.0000 -1000.0 0.99980 0.0000 0.0034127
113 0.0000 -1000.0 0.99980 0.0000 0.0034127
11303 0.00015001 -3.8238 0.99950 -7.0995e-05 0.0034128
11304 0.00010001 -3.9999 0.99967 3.9776e-05 0.0034129
1131 5.0003e-05 -4.3010 0.99976 0.00010240 0.0034139
11315 0.00030002 -3.5227 0.99411 -3.1734e-05 0.0034130
11318 5.0003e-05 -4.3010 0.99976 -4.9603e-05 0.0034126
11319 5.0003e-05 -4.3010 0.99976 2.5370e-05 0.0034128
11320 0.0000 -1000.0 0.99980 0.0000 0.0034127
11325 5.0003e-05 -4.3010 0.99976 -4.7435e-05 0.0034126
11328 0.00010001 -3.9999 0.99967 -0.00011889 0.0034125
11331 0.00010001 -3.9999 0.99967 -0.00013752 0.0034125
11342 0.00025001 -3.6019 0.99787 -0.00029164 0.0034121
11345 5.0003e-05 -4.3010 0.99976 7.7171e-06 0.0034127
11347 0.00010001 -3.9999 0.99967 7.7021e-05 0.0034132
11354 5.0003e-05 -4.3010 0.99976 5.1828e-05 0.0034130
