locus	chrom
3	LG21
6	LG10
11	LG10
13	LG07
16	LG21
18	LG04
30	LG01
44	LG07
52	LG11
56	LG15
59	LG13
66	LG01
67	LG09
69	LG22
74	LG14
80	LG02
84	LG04
85	LG19
91	LG21
94	LG13
95	LG11
96	LG12
97	LG02
98	LG03
101	LG12
110	LG14
114	LG16
115	LG11
116	LG18
123	LG01
144	LG14
146	LG11
148	LG10
159	LG04
164	LG13
179	LG12
181	LG03
195	LG01
197	LG03
211	LG04
218	LG17
230	LG15
233	LG23
235	LG22
236	LG02
243	LG01
246	LG08
253	LG16
258	LG11
262	LG22
275	LG20
276	LG18
279	LG03
281	LG14
286	LG05
287	LG20
298	LG17
323	LG19
331	LG11
335	LG22
336	LG04
348	LG04
349	LG13
359	LG23
360	LG09
369	LG14
372	LG16
373	LG23
385	LG13
401	LG17
402	LG13
406	LG20
415	LG21
418	LG08
421	LG03
444	LG21
453	LG10
460	LG07
469	LG19
470	LG14
475	LG11
476	LG01
482	LG21
488	LG11
494	LG20
504	LG22
506	LG14
512	LG10
513	LG05
525	LG11
532	LG12
534	LG02
538	LG11
539	LG09
543	LG18
549	LG08
567	LG05
572	LG20
576	LG05
580	LG03
588	LG21
594	LG14
599	LG11
609	LG13
610	LG13
630	LG08
641	LG07
644	LG10
653	LG13
654	LG04
656	LG10
666	LG21
673	LG21
676	LG13
678	LG23
680	LG09
687	LG06
693	LG14
702	LG17
705	LG06
707	LG16
709	LG04
717	LG11
730	LG19
732	LG20
737	LG01
740	LG19
741	LG20
747	LG15
752	LG12
755	LG22
761	LG01
765	LG11
766	LG03
768	LG13
782	LG13
787	LG14
792	LG08
793	LG12
797	LG01
800	LG01
803	LG15
816	LG02
822	LG07
826	LG20
830	LG03
837	LG03
850	LG04
856	LG10
859	LG19
863	LG15
867	LG22
869	LG19
886	LG07
890	LG13
899	LG23
901	LG01
908	LG06
911	LG23
920	LG22
921	LG16
949	LG05
952	LG15
953	LG09
959	LG21
966	LG18
969	LG14
979	LG17
984	LG09
986	LG18
994	LG19
998	LG16
1001	LG07
1003	LG01
1013	LG09
1018	LG03
1019	LG13
1027	LG05
1030	LG23
1041	LG03
1042	LG02
1057	LG04
1064	LG08
1072	LG06
1087	LG04
1090	LG15
1101	LG04
1102	LG04
1104	LG19
1107	LG01
1112	LG05
1121	LG11
1125	LG18
1131	LG11
1140	LG01
1141	LG11
1150	LG16
1162	LG15
1164	LG11
1191	LG12
1193	LG20
1198	LG04
1199	LG04
1219	LG10
1226	LG10
1228	LG09
1238	LG02
1239	LG01
1243	LG12
1245	LG06
1249	LG20
1251	LG03
1257	LG03
1277	LG07
1283	LG06
1286	LG20
1291	LG16
1306	LG10
1308	LG02
1317	LG12
1322	LG07
1325	LG05
1344	LG20
1355	LG01
1361	LG11
1373	LG13
1374	LG10
1392	LG21
1398	LG11
1401	LG20
1402	LG14
1423	LG09
1428	LG01
1452	LG12
1453	LG12
1455	LG10
1459	LG04
1463	LG21
1464	LG09
1470	LG13
1473	LG14
1485	LG06
1490	LG13
1491	LG07
1506	LG11
1519	LG15
1522	LG23
1525	LG02
1528	LG07
1530	LG13
1539	LG12
1540	LG09
1547	LG15
1548	LG22
1550	LG10
1551	LG07
1561	LG07
1565	LG21
1566	LG08
1578	LG11
1602	LG07
1616	LG18
1621	LG11
1625	LG16
1629	LG18
1632	LG15
1647	LG03
1649	LG08
1650	LG13
1654	LG13
1668	LG14
1669	LG01
1670	LG21
1676	LG15
1678	LG15
1690	LG17
1693	LG07
1696	LG03
1698	LG11
1712	LG11
1719	LG17
1734	LG06
1736	LG18
1750	LG09
1752	LG20
1764	LG05
1770	LG21
1771	LG05
1773	LG16
1777	LG18
1780	LG18
1781	LG01
1793	LG02
1796	LG06
1809	LG18
1810	LG02
1811	LG14
1816	LG16
1827	LG10
1828	LG12
1831	LG23
1832	GmG20150304_scaffold_6317
1838	LG08
1849	LG18
1855	LG19
1862	LG10
1870	LG05
1871	LG18
1876	LG14
1884	LG15
1886	LG01
1890	LG14
1891	LG13
1895	LG06
1910	LG03
1916	LG11
1919	LG17
1923	LG14
1924	LG09
1929	LG05
1931	LG11
1934	LG05
1936	LG13
1946	LG22
1948	LG03
1954	LG09
1960	LG10
1964	LG16
1965	LG03
1967	LG17
1974	LG14
1979	LG08
1983	LG12
1985	LG09
1993	LG16
1997	LG21
2002	LG03
2012	LG05
2019	LG07
2023	LG18
2045	LG21
2046	LG03
2049	LG01
2052	LG09
2061	LG17
2065	LG16
2068	LG03
2070	LG14
2073	LG17
2079	LG21
2082	LG21
2094	LG11
2098	LG01
2101	LG04
2103	LG18
2104	LG07
2108	LG15
2117	LG14
2120	LG19
2131	LG12
2133	LG04
2151	LG14
2158	LG23
2160	LG11
2164	LG16
2171	LG11
2175	LG10
