locus prob log10(PO) qval alpha fst
10000 0.0102505 -1.98478 0.988969 -0.0025432 0.0032430
10004 0.0096005 -2.0135 0.98954 -0.0013975 0.0032461
10009 0.010751 -1.9639 0.98839 0.0012403 0.0032605
1001 0.0088004 -2.0517 0.98998 -0.00037240 0.0032546
10014 0.0096505 -2.0112 0.98950 -0.00044581 0.0032543
10015 0.0085504 -2.0643 0.99005 -0.0014123 0.0032459
10019 0.0095005 -2.0181 0.98961 -0.0037075 0.0032367
10020 0.0099505 -1.9978 0.98927 -0.0031330 0.0032392
10023 0.010701 -1.9659 0.98845 0.0012888 0.0032610
1003 0.011501 -1.9343 0.98722 0.0017740 0.0032775
10030 0.010451 -1.9763 0.98876 0.00080268 0.0032599
10037 0.011751 -1.9248 0.98677 0.0039250 0.0032878
10040 0.0097005 -2.0090 0.98946 -0.0019679 0.0032427
10043 0.0092005 -2.0322 0.98980 -0.0026644 0.0032410
10049 0.0080004 -2.0934 0.99013 -0.0018979 0.0032426
1005 0.0099005 -2.0000 0.98931 0.0017988 0.0032683
10055 0.0093505 -2.0251 0.98971 3.7586e-06 0.0032591
10056 0.0088504 -2.0492 0.98996 0.0011243 0.0032601
10058 0.010001 -1.9956 0.98922 0.00023851 0.0032560
10061 0.0093005 -2.0274 0.98974 -0.0013094 0.0032466
10068 0.011001 -1.9538 0.98805 0.0048135 0.0032895
10070 0.0087504 -2.0542 0.98999 -0.00057977 0.0032484
10071 0.0095005 -2.0181 0.98961 0.00090059 0.0032556
10078 0.0098505 -2.0022 0.98935 -0.0017683 0.0032468
10088 0.0091005 -2.0370 0.98985 -0.00025282 0.0032552
10089 0.0097005 -2.0090 0.98946 -0.0020286 0.0032418
10097 0.010701 -1.9659 0.98845 0.00073152 0.0032618
101 0.010401 -1.9784 0.98881 0.00012260 0.0032604
10100 0.010701 -1.9659 0.98845 0.0043303 0.0032850
10101 0.0092505 -2.0298 0.98977 -0.0011500 0.0032474
10102 0.0089504 -2.0443 0.98992 -0.00033294 0.0032493
10109 0.0099505 -1.9978 0.98927 -0.0016230 0.0032475
10112 0.010201 -1.9869 0.98902 0.0012951 0.0032648
10115 0.010701 -1.9659 0.98845 0.00084013 0.0032620
1012 0.010251 -1.9848 0.98897 -2.9102e-05 0.0032553
10120 0.0097005 -2.0090 0.98946 -0.00081849 0.0032488
10123 0.0089004 -2.0467 0.98994 0.0012161 0.0032579
10127 0.0098505 -2.0022 0.98935 0.00081695 0.0032645
1013 0.011351 -1.9400 0.98746 0.0020059 0.0032678
10133 0.010001 -1.9956 0.98922 0.00085344 0.0032607
10137 0.010151 -1.9891 0.98907 -0.00060815 0.0032523
10142 0.0097005 -2.0090 0.98946 0.00079075 0.0032600
10150 0.0085004 -2.0669 0.99006 0.0015166 0.0032635
10156 0.0095505 -2.0158 0.98958 0.00075052 0.0032625
10158 0.011751 -1.9248 0.98677 0.0048025 0.0032919
10160 0.0089004 -2.0467 0.98994 0.0017652 0.0032696
10166 0.010051 -1.9934 0.98917 -0.00037770 0.0032528
1017 0.0089504 -2.0443 0.98992 0.00058020 0.0032596
10171 0.0092505 -2.0298 0.98977 -0.0033039 0.0032383
10177 0.0097505 -2.0067 0.98943 0.00021552 0.0032576
10178 0.010051 -1.9934 0.98917 -0.00047571 0.0032548
1018 0.0093005 -2.0274 0.98974 -0.00031597 0.0032493
10180 0.0087004 -2.0567 0.99001 -0.0013522 0.0032446
10183 0.011001 -1.9538 0.98805 0.0018225 0.0032677
10185 0.0093505 -2.0251 0.98971 0.0014431 0.0032698
10187 0.010101 -1.9912 0.98912 0.00035999 0.0032612
1019 0.010401 -1.9784 0.98881 0.0028043 0.0032755
10195 0.0095505 -2.0158 0.98958 -0.0011988 0.0032505
10198 0.0094005 -2.0227 0.98968 -0.0018857 0.0032426
10200 0.0090505 -2.0394 0.98987 -0.00045720 0.0032479
10201 0.010051 -1.9934 0.98917 -0.0012572 0.0032494
10202 0.0079504 -2.0961 0.99013 -0.0016246 0.0032435
10203 0.0089504 -2.0443 0.98992 -0.0020532 0.0032410
10221 0.0089004 -2.0467 0.98994 -0.00021571 0.0032472
10225 0.010701 -1.9659 0.98845 0.0017267 0.0032670
10228 0.0097505 -2.0067 0.98943 0.0038640 0.0032790
10233 0.0094005 -2.0227 0.98968 -0.00089304 0.0032533
10236 0.010551 -1.9721 0.98865 0.0011300 0.0032630
10248 0.010151 -1.9891 0.98907 -0.0014640 0.0032477
