locus prob log10(PO) qval alpha fst
10000 0.00905045 -2.03938 0.989602 7.4898e-05 0.0033752
10004 0.0094005 -2.0227 0.98933 -0.0017795 0.0033687
10009 0.0081504 -2.0853 0.98993 -0.00079696 0.0033703
1001 0.0094505 -2.0204 0.98929 -0.0016855 0.0033687
10014 0.0096005 -2.0135 0.98915 0.00091326 0.0033864
10015 0.010101 -1.9912 0.98850 -0.0012546 0.0033659
10019 0.0091505 -2.0346 0.98954 -0.00095412 0.0033700
10020 0.0096505 -2.0112 0.98909 -0.0033170 0.0033623
10023 0.010151 -1.9891 0.98842 0.0016154 0.0033868
1003 0.010101 -1.9912 0.98850 0.0017509 0.0033952
10030 0.010251 -1.9848 0.98824 0.00024810 0.0033778
10037 0.0095505 -2.0158 0.98920 0.0024362 0.0033988
10040 0.0094005 -2.0227 0.98933 -0.0016233 0.0033688
10043 0.0096005 -2.0135 0.98915 -0.00095805 0.0033733
10049 0.0090505 -2.0394 0.98960 -0.0023962 0.0033651
1005 0.0090005 -2.0418 0.98963 -0.00049701 0.0033771
10055 0.0086504 -2.0592 0.98980 0.00042915 0.0033865
10056 0.0096505 -2.0112 0.98909 -0.0015350 0.0033699
10058 0.0092505 -2.0298 0.98946 0.0020199 0.0033919
10061 0.0090005 -2.0418 0.98963 -0.0013974 0.0033699
10068 0.010751 -1.9639 0.98707 0.0019150 0.0033915
10070 0.0095005 -2.0181 0.98925 -0.0021267 0.0033679
10071 0.0094505 -2.0204 0.98929 -0.0019627 0.0033702
10078 0.0096005 -2.0135 0.98915 -0.0027216 0.0033662
10088 0.0095505 -2.0158 0.98920 -0.0018355 0.0033700
10089 0.010451 -1.9763 0.98785 0.00095117 0.0033830
10097 0.0093005 -2.0274 0.98941 -0.0018114 0.0033698
101 0.010401 -1.9784 0.98797 -6.9731e-05 0.0033849
10100 0.012001 -1.9156 0.98072 0.0058469 0.0034332
10101 0.010651 -1.9680 0.98737 0.0013822 0.0033900
10102 0.0087004 -2.0567 0.98978 -0.0023142 0.0033641
10109 0.0098505 -2.0022 0.98887 -0.00098350 0.0033737
