locus prob log10(PO) qval alpha fst
10000 0.000850043 -3.07019 0.998682 7.6886e-05 0.0034108
10004 0.0013001 -2.8855 0.99707 -0.00047983 0.0034089
10009 0.00070004 -3.1546 0.99879 0.00013973 0.0034110
1001 0.00090005 -3.0453 0.99863 -0.00032311 0.0034093
10014 0.00075004 -3.1246 0.99876 -0.00031570 0.0034090
10015 0.00090005 -3.0453 0.99863 -0.00017749 0.0034104
10019 0.0013001 -2.8855 0.99707 -0.00075706 0.0034089
10020 0.00090005 -3.0453 0.99863 9.6435e-05 0.0034111
10023 0.0012001 -2.9203 0.99781 0.00041176 0.0034133
1003 0.0012001 -2.9203 0.99781 -0.00026992 0.0034103
10030 0.00090005 -3.0453 0.99863 0.00028594 0.0034120
10037 0.0013501 -2.8691 0.99653 0.0012755 0.0034231
10040 0.0010501 -2.9783 0.99837 -0.00032596 0.0034092
10043 0.00080004 -3.0965 0.99872 0.00011454 0.0034111
10049 0.0011501 -2.9388 0.99806 0.00037481 0.0034128
1005 0.00080004 -3.0965 0.99872 -1.3090e-05 0.0034114
10055 0.0013001 -2.8855 0.99707 -0.00012826 0.0034122
10056 0.0014001 -2.8532 0.99576 -9.0821e-05 0.0034111
10058 0.0012001 -2.9203 0.99781 -0.00012368 0.0034119
10061 0.00095005 -3.0218 0.99856 -0.00028508 0.0034101
10068 0.0012001 -2.9203 0.99781 0.00031969 0.0034142
10070 0.00070004 -3.1546 0.99879 -0.00034702 0.0034089
10071 0.00050003 -3.3008 0.99883 -2.2386e-05 0.0034096
10078 0.0011501 -2.9388 0.99806 -0.00056893 0.0034083
10088 0.00085004 -3.0702 0.99868 -3.4083e-05 0.0034108
10089 0.00090005 -3.0453 0.99863 0.00010448 0.0034109
10097 0.0014001 -2.8532 0.99576 1.8230e-05 0.0034106
101 0.00095005 -3.0218 0.99856 0.00024373 0.0034129
10100 0.0012501 -2.9025 0.99752 0.00072989 0.0034168
10101 0.00075004 -3.1246 0.99876 -0.00011148 0.0034097
10102 0.00095005 -3.0218 0.99856 -8.0145e-05 0.0034099
10109 0.0011001 -2.9581 0.99824 -2.0845e-05 0.0034126
10112 0.00090005 -3.0453 0.99863 3.7638e-05 0.0034114
10115 0.00090005 -3.0453 0.99863 -0.00029741 0.0034097
1012 0.0011001 -2.9581 0.99824 0.00020813 0.0034130
10120 0.0011001 -2.9581 0.99824 2.4224e-05 0.0034112
10123 0.00095005 -3.0218 0.99856 0.00016138 0.0034124
10127 0.00095005 -3.0218 0.99856 0.00014961 0.0034118
1013 0.0011501 -2.9388 0.99806 3.2729e-05 0.0034116
10133 0.0011501 -2.9388 0.99806 0.00013004 0.0034133
10137 0.0011501 -2.9388 0.99806 -0.00026645 0.0034109
10142 0.00070004 -3.1546 0.99879 -0.00011693 0.0034096
10150 0.0011501 -2.9388 0.99806 0.00023452 0.0034134
10156 0.0014501 -2.8380 0.99460 0.00021814 0.0034136
10158 0.00085004 -3.0702 0.99868 0.00038641 0.0034122
10160 0.0012501 -2.9025 0.99752 0.00043934 0.0034136
10166 0.00095005 -3.0218 0.99856 0.00044739 0.0034141
1017 0.0013001 -2.8855 0.99707 -0.00035452 0.0034100
10171 0.0011001 -2.9581 0.99824 -0.00042855 0.0034092
10177 0.00090005 -3.0453 0.99863 -0.00011840 0.0034100
10178 0.00060003 -3.2216 0.99882 6.3784e-05 0.0034105
1018 0.0010001 -2.9995 0.99847 -0.00047556 0.0034089
