locus,prob,log10(PO),qval,alpha,fst,log10q,q,outlier
10123,0.99315,2.1613,0.0016595,1.3738,0.066955,-2.780022743,0.0016595,TRUE
10203,1,1000,0,1.7114,0.087273,#NAME?,#NAME?,TRUE
11320,0.9276,1.1076,0.020513,1.3037,0.065192,-1.68797082,0.020513,TRUE
11368,0.9903,2.009,0.0023044,1.3568,0.065873,-2.637442133,0.0023044,TRUE
11536,0.959,1.369,0.011979,1.3252,0.065462,-1.921579435,0.011979,TRUE
11591,0.96365,1.4234,0.0099469,1.5179,0.078909,-2.002312248,0.0099469,TRUE
11833,0.9325,1.1403,0.019802,1.2161,0.059507,-1.703290944,0.019802,TRUE
1185,0.95115,1.2894,0.014038,1.2791,0.062912,-1.852694762,0.014038,TRUE
12640,0.9396,1.1919,0.019139,1.3617,0.069725,-1.718080758,0.019139,TRUE
12688,0.99335,2.1743,0.0013134,1.4225,0.069823,-2.881602988,0.0013134,TRUE
12796,0.98785,1.9101,0.0025779,1.3304,0.064491,-2.588733933,0.0025779,TRUE
14078,0.92585,1.0964,0.021228,1.1346,0.055005,-1.673090921,0.021228,TRUE
14223,0.9708,1.5217,0.0077464,1.5049,0.077816,-2.110900081,0.0077464,TRUE
14316,0.99935,3.1868,0.00016177,1.465,0.071852,-3.791102015,0.00016177,TRUE
14546,1,1000,0,1.8585,0.098803,#NAME?,#NAME?,TRUE
15298,0.87884,0.86057,0.028407,1.426,0.076677,-1.546574629,0.028407,TRUE
15585,0.9988,2.9203,0.00029251,1.6024,0.081222,-3.533859282,0.00029251,TRUE
15946,0.9773,1.634,0.0060318,1.3161,0.063971,-2.219553067,0.0060318,TRUE
16013,0.92075,1.0651,0.021991,1.2975,0.0652,-1.657755021,0.021991,TRUE
16378,0.99555,2.3497,0.00083152,1.5131,0.075927,-3.080127301,0.00083152,TRUE
16516,0.94075,1.2008,0.018558,1.2787,0.063015,-1.73146883,0.018558,TRUE
16557,0.95065,1.2847,0.01459,1.1686,0.056462,-1.835944708,0.01459,TRUE
16976,0.9998,3.6989,2.92E-05,1.6053,0.080752,-4.535093349,2.9168E-05,TRUE
17724,0.9489,1.2688,0.015152,1.4707,0.075664,-1.819530038,0.015152,TRUE
18456,0.9913,2.0567,0.0018728,1.288,0.061788,-2.727508599,0.0018728,TRUE
18636,0.9999,3.9999,1.36E-05,1.5778,0.07873,-4.865281159,1.3637E-05,TRUE
18723,0.99865,2.8691,0.00042611,1.4581,0.07158,-3.370478274,0.00042611,TRUE
18851,0.95855,1.3641,0.012471,1.2591,0.061223,-1.904098721,0.012471,TRUE
1904,1,1000,0,1.5687,0.077758,#NAME?,#NAME?,TRUE
19147,0.94585,1.2422,0.016271,1.3655,0.069663,-1.788585755,0.016271,TRUE
19221,1,1000,0,2.0913,0.11803,#NAME?,#NAME?,TRUE
19489,0.9995,3.3008,0.00013126,1.5201,0.07507,-3.8818676,0.00013126,TRUE
19821,0.98525,1.8247,0.0034374,1.7159,0.093306,-2.463769927,0.0034374,TRUE
19944,1,1000,0,1.8103,0.095119,#NAME?,#NAME?,TRUE
20546,0.9431,1.2194,0.017411,1.3914,0.071482,-1.759176284,0.017411,TRUE
20970,0.99875,2.9025,0.00033811,1.4838,0.073046,-3.470941984,0.00033811,TRUE
2098,0.9991,3.0453,0.00020279,1.5882,0.081019,-3.692953465,0.00020279,TRUE
21666,0.9582,1.3603,0.012951,1.3805,0.069247,-1.887696697,0.012951,TRUE
21890,0.943,1.2186,0.017977,1.4886,0.077984,-1.745282782,0.017977,TRUE
21922,0.9848,1.8115,0.0037314,1.2498,0.059868,-2.428128193,0.0037314,TRUE
22644,0.9782,1.6519,0.0052878,1.3495,0.066343,-2.276724979,0.0052878,TRUE
22902,0.999,2.9995,0.00024475,1.4055,0.068078,-3.6112773,0.00024475,TRUE
23057,0.9174,1.0456,0.023518,1.1516,0.056238,-1.628599614,0.023518,TRUE
2333,0.89969,0.95277,0.026178,1.19,0.058954,-1.582063537,0.026178,TRUE
23543,0.87874,0.86016,0.029513,1.1513,0.058263,-1.529986642,0.029513,TRUE
2360,0.96875,1.4913,0.0090325,1.2814,0.062222,-2.04419203,0.0090325,TRUE
23844,0.9457,1.2409,0.01683,1.1085,0.053099,-1.773915884,0.01683,TRUE
24117,0.99315,2.1613,0.0016595,1.3144,0.06319,-2.780022743,0.0016595,TRUE
24927,0.99965,3.4558,5.38E-05,1.912,0.10558,-4.268822357,5.3849E-05,TRUE
25028,0.9779,1.6459,0.0056614,1.333,0.065,-2.247076159,0.0056614,TRUE
2606,0.9869,1.877,0.0028623,1.4202,0.070796,-2.543284849,0.0028623,TRUE
2694,1,1000,0,1.8644,0.099658,#NAME?,#NAME?,TRUE
2705,0.99865,2.8691,0.00042611,1.3998,0.067823,-3.370478274,0.00042611,TRUE
2766,0.96035,1.3842,0.010964,1.2271,0.05919,-1.960030973,0.010964,TRUE
2873,0.976,1.6092,0.0064142,1.2834,0.062114,-2.192857503,0.0064142,TRUE
3133,0.97185,1.5381,0.006867,1.4804,0.075547,-2.163232953,0.006867,TRUE
3156,0.97025,1.5134,0.0081779,1.3912,0.069283,-2.087358204,0.0081779,TRUE
3179,1,1000,0,1.6965,0.086629,#NAME?,#NAME?,TRUE
3313,0.9996,3.3977,7.86E-05,1.5233,0.075545,-4.10471561,7.8575E-05,TRUE
3363,0.968,1.4807,0.0094579,1.4378,0.072737,-2.024205282,0.0094579,TRUE
3405,0.9807,1.706,0.0041112,1.4452,0.073437,-2.386031395,0.0041112,TRUE
3548,0.88379,0.88112,0.027276,1.1658,0.058346,-1.564219318,0.027276,TRUE
3699,0.9995,3.3008,0.00013126,1.7868,0.096567,-3.8818676,0.00013126,TRUE
4036,0.9195,1.0577,0.022751,1.2678,0.06314,-1.64299951,0.022751,TRUE
4359,0.87744,0.85488,0.030607,1.0468,0.051569,-1.514179236,0.030607,TRUE
453,0.9947,2.2734,0.0011294,1.4633,0.072433,-2.947152217,0.0011294,TRUE
4635,0.94885,1.2683,0.015697,1.3136,0.06513,-1.804183342,0.015697,TRUE
5400,0.99995,4.301,5.00E-06,1.5573,0.077094,-5.301003939,5.0003E-06,TRUE
5808,0.995,2.2988,0.00098041,1.4851,0.073795,-3.008592268,0.00098041,TRUE
6279,0.9108,1.009,0.02435,1.315,0.066894,-1.613501034,0.02435,TRUE
7121,0.9866,1.867,0.0031396,1.2713,0.060886,-2.50312568,0.0031396,TRUE
7310,0.99805,2.7091,0.00048961,1.4705,0.072614,-3.310149721,0.00048961,TRUE
74,1,1000,0,1.6694,0.084753,#NAME?,#NAME?,TRUE
8245,0.99725,2.5594,0.00058003,1.4734,0.072889,-3.236549544,0.00058003,TRUE
8290,1,1000,0,1.7302,0.088895,#NAME?,#NAME?,TRUE
8759,0.99085,2.0346,0.0020869,1.3122,0.063129,-2.680498361,0.0020869,TRUE
8946,0.97825,1.653,0.0049037,1.344,0.065772,-2.309476107,0.0049037,TRUE
9040,0.9618,1.401,0.010451,1.2893,0.062902,-1.980842152,0.010451,TRUE
9203,0.9965,2.4544,0.00069234,1.3492,0.064975,-3.159680576,0.00069234,TRUE
9347,0.9696,1.5037,0.0086052,1.242,0.059844,-2.065239031,0.0086052,TRUE
9410,0.9715,1.5326,0.0073085,1.4915,0.076748,-2.136171749,0.0073085,TRUE
9465,0.95915,1.3707,0.011479,1.2764,0.062263,-1.940095944,0.011479,TRUE
9470,0.9035,0.97138,0.025252,1.3118,0.067016,-1.597704219,0.025252,TRUE
9663,0.9545,1.3217,0.013476,1.262,0.061448,-1.870438998,0.013476,TRUE
9860,0.97945,1.6781,0.0045026,1.292,0.06293,-2.346536633,0.0045026,TRUE
