locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
10203,1,1000,0,1.6546,0.08905,-Inf,True
14316,0.9698,1.5067,0.0075929,1.375,0.071925,-2.11959231982894,True
14546,1,1000,0,1.8049,0.10115,-Inf,True
15585,0.9767,1.6224,0.0052475,1.5149,0.081301,-2.28004755274556,True
16378,0.82129,0.66235,0.031046,1.2355,0.068593,-1.50799434685077,True
16976,0.99695,2.5144,0.0006167,1.5444,0.082226,-3.2099260515737,True
18636,0.998,2.6981,0.00039547,1.5072,0.079483,-3.4028864561072,True
18723,0.9728,1.5534,0.006403,1.3853,0.072726,-2.19361649817583,True
1904,0.9992,3.0965,0.00016112,1.5031,0.07878,-3.79285054679046,True
19221,1,1000,0,2.0323,0.12023,-Inf,True
19489,0.98715,1.8855,0.0026535,1.4459,0.075829,-2.5761809080346,True
19944,0.99995,4.301,8.3338e-06,1.7479,0.096718,-5.07915692623759,True
20970,0.96205,1.404,0.010155,1.3826,0.072831,-1.99332007225917,True
2098,0.98455,1.8043,0.0034533,1.5326,0.083366,-2.46176569136236,True
22902,0.9454,1.2384,0.012088,1.2964,0.067614,-1.91764554866903,True
24927,0.98955,1.9763,0.0019251,1.8343,0.10641,-2.71554670598915,True
2694,1,1000,0,1.8133,0.10242,-Inf,True
2705,0.9664,1.4588,0.0088314,1.3169,0.068279,-2.0539704443183,True
3179,0.99975,3.6019,4.2859e-05,1.6361,0.088001,-4.36795796627479,True
3313,0.9841,1.7916,0.0041855,1.449,0.076309,-2.37825265373518,True
3699,0.9909,2.037,0.0012693,1.7319,0.098858,-2.89643571994904,True
453,0.78904,0.5729,0.042671,1.1475,0.063737,-1.36986717927819,True
5400,0.9991,3.0453,0.00023501,1.4974,0.078439,-3.62891365750521,True
5808,0.81174,0.63466,0.036661,1.1898,0.065747,-1.43579569298649,True
7310,0.9054,0.98093,0.015526,1.3029,0.069626,-1.8089404181726,True
74,0.99965,3.4558,8.1254e-05,1.6056,0.086042,-4.09015525022395,True
8245,0.87154,0.83153,0.020043,1.2591,0.068174,-1.69803727352664,True
8290,1,1000,0,1.6731,0.090801,-Inf,True
9203,0.84154,0.72516,0.025367,1.1159,0.059697,-1.59573089109458,True
