Pcod_Locus	Acod_LGorScaffold	Start_Position
59	LG13	23171791
74	LG14	16964598
453	LG10	23241108
2049	LG01	23068419
2098	LG01	7446401
2360	LG20	14555094
2694	LG02	7704595
2705	LG01	11869646
2873	LG11	20533995
3133	LG14	25824859
3313	LG16	19800798
3548	LG09	1872590
3699	LG14	18092257
4199	LG21	20674508
5400	LG20	3274613
5808	LG11	13375051
5891	LG15	9476050
7138	LG18	20541532
8290	LG10	16367116
8759	LG09	13117662
8829	LG05	16748951
8946	LG11	12689587
9347	LG03	14212343
10123	LG08	9228701
10203	LG16	14926402
11320	LG19	7169297
11368	LG16	10176756
11536	LG07	25941514
11591	LG19	20501441
12214	LG10	8871717
12508	LG08	11093206
12796	LG13	14958633
14078	LG04	13820960
14316	LG09	20338324
15335	LG19	7169435
15585	LG11	20852400
15693	LG22	19417923
15946	LG06	22281429
16013	LG09	13705324
16516	LG21	17403127
16557	LG08	18118588
16976	LG11	3948289
17522	LG12	18432995
17767	LG15	5655476
18456	LG20	3439763
18851	LG21	15673020
19221	LG16	10083819
19489	LG13	1498148
19591	LG11	21054680
19821	LG03	25668374
19944	LG10	6899152
20574	LG20	15236241
20658	LG11	16819948
21890	LG15	16462712
22902	LG06	15433511
23057	LG14	2490034
24117	LG10	22997908
