locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
10123,0.99315,2.1613,0.0016595,1.3738,0.066955,-2.78002274325538,True
10203,1,1000,0,1.7114,0.087273,-Inf,True
11114,0.82364,0.66934,0.045143,1.057,0.053509,-1.3454095830484,True
11320,0.9276,1.1076,0.020513,1.3037,0.065192,-1.68797081997446,True
11368,0.9903,2.009,0.0023044,1.3568,0.065873,-2.63744213344551,True
11536,0.959,1.369,0.011979,1.3252,0.065462,-1.921579435086,True
11591,0.96365,1.4234,0.0099469,1.5179,0.078909,-2.00231224816529,True
11833,0.9325,1.1403,0.019802,1.2161,0.059507,-1.7032909438244,True
1185,0.95115,1.2894,0.014038,1.2791,0.062912,-1.85269476192381,True
12640,0.9396,1.1919,0.019139,1.3617,0.069725,-1.71808075756375,True
12688,0.99335,2.1743,0.0013134,1.4225,0.069823,-2.88160298804842,True
12796,0.98785,1.9101,0.0025779,1.3304,0.064491,-2.58873393348786,True
13486,0.86944,0.82344,0.03283,1.3311,0.069903,-1.48372911727066,True
14078,0.92585,1.0964,0.021228,1.1346,0.055005,-1.67309092104265,True
14223,0.9708,1.5217,0.0077464,1.5049,0.077816,-2.1109000811548,True
14316,0.99935,3.1868,0.00016177,1.465,0.071852,-3.79110201450663,True
14546,1,1000,0,1.8585,0.098803,-Inf,True
14845,0.83204,0.69494,0.043777,1.0268,0.051626,-1.3587540035741,True
15298,0.87884,0.86057,0.028407,1.426,0.076677,-1.54657462872833,True
15585,0.9988,2.9203,0.00029251,1.6024,0.081222,-3.53385928216101,True
15815,0.80444,0.61421,0.049429,1.0688,0.055065,-1.30601817567871,True
15946,0.9773,1.634,0.0060318,1.3161,0.063971,-2.21955306706142,True
16013,0.92075,1.0651,0.021991,1.2975,0.0652,-1.65775502145288,True
16378,0.99555,2.3497,0.00083152,1.5131,0.075927,-3.08012730052122,True
16516,0.94075,1.2008,0.018558,1.2787,0.063015,-1.73146882961318,True
16557,0.95065,1.2847,0.01459,1.1686,0.056462,-1.83594470810655,True
16976,0.9998,3.6989,2.9168e-05,1.6053,0.080752,-4.5350933486891,True
17724,0.9489,1.2688,0.015152,1.4707,0.075664,-1.8195300383408,True
18456,0.9913,2.0567,0.0018728,1.288,0.061788,-2.72750859931143,True
18636,0.9999,3.9999,1.3637e-05,1.5778,0.07873,-4.86528115949961,True
18723,0.99865,2.8691,0.00042611,1.4581,0.07158,-3.37047827360556,True
18851,0.95855,1.3641,0.012471,1.2591,0.061223,-1.90409872077412,True
1904,1,1000,0,1.5687,0.077758,-Inf,True
19147,0.94585,1.2422,0.016271,1.3655,0.069663,-1.78858575492202,True
19221,1,1000,0,2.0913,0.11803,-Inf,True
19489,0.9995,3.3008,0.00013126,1.5201,0.07507,-3.8818676000791,True
19821,0.98525,1.8247,0.0034374,1.7159,0.093306,-2.46376992736674,True
19944,1,1000,0,1.8103,0.095119,-Inf,True
20428,0.85844,0.78278,0.036331,1.067,0.052971,-1.43972264814596,True
2045,0.83904,0.71707,0.042469,1.1053,0.056429,-1.37192796504169,True
2049,0.84664,0.74199,0.039959,1.0198,0.050712,-1.39838538881232,True
20546,0.9431,1.2194,0.017411,1.3914,0.071482,-1.75917628448233,True
20896,0.84964,0.75211,0.038726,1.0231,0.050877,-1.41199735887864,True
20970,0.99875,2.9025,0.00033811,1.4838,0.073046,-3.47094198427536,True
2098,0.9991,3.0453,0.00020279,1.5882,0.081019,-3.69295346478198,True
21666,0.9582,1.3603,0.012951,1.3805,0.069247,-1.88769669662407,True
21890,0.943,1.2186,0.017977,1.4886,0.077984,-1.74528278157677,True
21922,0.9848,1.8115,0.0037314,1.2498,0.059868,-2.42812819280283,True
22644,0.9782,1.6519,0.0052878,1.3495,0.066343,-2.27672497949424,True
22902,0.999,2.9995,0.00024475,1.4055,0.068078,-3.61127729952482,True
22969,0.87599,0.84906,0.031693,1.0377,0.050982,-1.49903664936194,True
23057,0.9174,1.0456,0.023518,1.1516,0.056238,-1.62859961396902,True
2333,0.89969,0.95277,0.026178,1.19,0.058954,-1.58206353662954,True
23543,0.87874,0.86016,0.029513,1.1513,0.058263,-1.52998664216984,True
2360,0.96875,1.4913,0.0090325,1.2814,0.062222,-2.04419202975994,True
23844,0.9457,1.2409,0.01683,1.1085,0.053099,-1.77391588402418,True
24117,0.99315,2.1613,0.0016595,1.3144,0.06319,-2.78002274325538,True
24927,0.99965,3.4558,5.3849e-05,1.912,0.10558,-4.26882235733377,True
25028,0.9779,1.6459,0.0056614,1.333,0.065,-2.24707615943166,True
2606,0.9869,1.877,0.0028623,1.4202,0.070796,-2.54328484943141,True
2694,1,1000,0,1.8644,0.099658,-Inf,True
2705,0.99865,2.8691,0.00042611,1.3998,0.067823,-3.37047827360556,True
2766,0.96035,1.3842,0.010964,1.2271,0.05919,-1.96003097313254,True
2873,0.976,1.6092,0.0064142,1.2834,0.062114,-2.19285750253945,True
3133,0.97185,1.5381,0.006867,1.4804,0.075547,-2.16323295260579,True
3156,0.97025,1.5134,0.0081779,1.3912,0.069283,-2.08735820433606,True
3179,1,1000,0,1.6965,0.086629,-Inf,True
3313,0.9996,3.3977,7.8575e-05,1.5233,0.075545,-4.10471561031038,True
3363,0.968,1.4807,0.0094579,1.4378,0.072737,-2.02420528216641,True
3405,0.9807,1.706,0.0041112,1.4452,0.073437,-2.38603139532288,True
3548,0.88379,0.88112,0.027276,1.1658,0.058346,-1.5642193182274,True
3699,0.9995,3.3008,0.00013126,1.7868,0.096567,-3.8818676000791,True
4036,0.9195,1.0577,0.022751,1.2678,0.06314,-1.64299950955908,True
4359,0.87744,0.85488,0.030607,1.0468,0.051569,-1.51417923646917,True
453,0.9947,2.2734,0.0011294,1.4633,0.072433,-2.94715221659914,True
4635,0.94885,1.2683,0.015697,1.3136,0.06513,-1.80418334172713,True
5400,0.99995,4.301,5.0003e-06,1.5573,0.077094,-5.30100393877677,True
5808,0.995,2.2988,0.00098041,1.4851,0.073795,-3.00859226767427,True
5891,0.86544,0.80833,0.033986,1.1099,0.055369,-1.46869994692481,True
6279,0.9108,1.009,0.02435,1.315,0.066894,-1.61350103444935,True
6562,0.84254,0.72843,0.041209,0.9581,0.047618,-1.38500792417357,True
7121,0.9866,1.867,0.0031396,1.2713,0.060886,-2.50312567958874,True
7138,0.86249,0.79743,0.035149,1.1681,0.059185,-1.4540870262817,True
7216,0.81024,0.63041,0.047953,1.0542,0.05368,-1.3191842176343,True
7310,0.99805,2.7091,0.00048961,1.4705,0.072614,-3.31014972055925,True
74,1,1000,0,1.6694,0.084753,-Inf,True
8245,0.99725,2.5594,0.00058003,1.4734,0.072889,-3.23654954351031,True
8264,0.85734,0.77886,0.0375,1.0209,0.050515,-1.42596873227228,True
8290,1,1000,0,1.7302,0.088895,-Inf,True
8417,0.82134,0.6625,0.046506,1.07,0.054931,-1.33249101272742,True
8759,0.99085,2.0346,0.0020869,1.3122,0.063129,-2.68049836094351,True
8946,0.97825,1.653,0.0049037,1.344,0.065772,-2.30947610707241,True
9040,0.9618,1.401,0.010451,1.2893,0.062902,-1.98084215226072,True
9203,0.9965,2.4544,0.00069234,1.3492,0.064975,-3.15968057626457,True
9347,0.9696,1.5037,0.0086052,1.242,0.059844,-2.06523903145066,True
9410,0.9715,1.5326,0.0073085,1.4915,0.076748,-2.13617174870143,True
9465,0.95915,1.3707,0.011479,1.2764,0.062263,-1.94009594411559,True
9470,0.9035,0.97138,0.025252,1.3118,0.067016,-1.59770421934468,True
9663,0.9545,1.3217,0.013476,1.262,0.061448,-1.87043899769092,True
9860,0.97945,1.6781,0.0045026,1.292,0.06293,-2.34653663298574,True
