locus prob log10(PO) qval alpha fst
10000 0.00100005 -2.99954 0.991866 -0.00052384 0.018773
10004 0.0015501 -2.8090 0.96113 -0.0014584 0.018764
10009 0.0011001 -2.9581 0.98909 -0.00054425 0.018772
1001 0.0017001 -2.7688 0.94569 -0.0013629 0.018762
10014 0.00075004 -3.1246 0.99516 -8.3420e-05 0.018777
10015 0.0013001 -2.8855 0.97962 -0.00081353 0.018771
10019 0.00090005 -3.0453 0.99367 -0.00039958 0.018772
10020 0.00055003 -3.2594 0.99591 -0.00042673 0.018772
10023 0.00070004 -3.1546 0.99541 -3.7287e-05 0.018780
1003 0.00085004 -3.0702 0.99432 0.00019509 0.018783
10030 0.00065003 -3.1868 0.99563 -0.00014021 0.018776
10037 0.00070004 -3.1546 0.99541 0.00014878 0.018784
10040 0.0012001 -2.9203 0.98483 -0.00077558 0.018771
10043 0.0013501 -2.8691 0.97659 -0.0011885 0.018765
10049 0.00050003 -3.3008 0.99598 -0.00013134 0.018776
1005 0.0011001 -2.9581 0.98909 0.00055153 0.018794
10055 0.0010501 -2.9783 0.99065 -0.00041294 0.018775
10056 0.00095005 -3.0218 0.99286 -8.6135e-05 0.018781
10058 0.0016001 -2.7952 0.95565 0.00029202 0.018793
10061 0.00065003 -3.1868 0.99563 4.9349e-05 0.018782
10068 0.00055003 -3.2594 0.99591 0.00022680 0.018783
10070 0.00080004 -3.0965 0.99477 -0.00021194 0.018778
10071 0.0010501 -2.9783 0.99065 -0.00071615 0.018770
10078 0.0010001 -2.9995 0.99187 -0.00034174 0.018776
10088 0.00060003 -3.2216 0.99579 -0.00027820 0.018777
10089 0.00075004 -3.1246 0.99516 -0.00025553 0.018778
10097 0.0010501 -2.9783 0.99065 -9.6029e-05 0.018779
101 0.0010001 -2.9995 0.99187 -0.00056279 0.018773
10100 0.0017001 -2.7688 0.94569 0.0018794 0.018848
10101 0.0014001 -2.8532 0.97340 -0.00076914 0.018770
10102 0.0012001 -2.9203 0.98483 -0.00016680 0.018783
10109 0.0011501 -2.9388 0.98727 -0.0011957 0.018767
10112 0.0017001 -2.7688 0.94569 0.0011832 0.018818
10115 0.0011501 -2.9388 0.98727 0.00058772 0.018797
1012 0.00080004 -3.0965 0.99477 -0.00041480 0.018774
10120 0.0011501 -2.9388 0.98727 0.00039346 0.018795
10123 0.029601 -1.5156 0.46658 0.040766 0.020356
10127 0.0010001 -2.9995 0.99187 -0.00013880 0.018781
1013 0.00060003 -3.2216 0.99579 0.00058670 0.018801
10133 0.00090005 -3.0453 0.99367 -3.9755e-05 0.018785
10137 0.00095005 -3.0218 0.99286 -0.00073747 0.018770
10142 0.0011501 -2.9388 0.98727 0.0011301 0.018821
10150 0.00085004 -3.0702 0.99432 0.00036492 0.018789
10156 0.0011501 -2.9388 0.98727 0.00045740 0.018796
10158 0.0012501 -2.9025 0.98256 0.00057873 0.018805
10160 0.0010001 -2.9995 0.99187 0.00011832 0.018785
10166 0.0010501 -2.9783 0.99065 -0.00099814 0.018771
1017 0.00085004 -3.0702 0.99432 -0.00035367 0.018774
10171 0.0013001 -2.8855 0.97962 -0.00066699 0.018772
10177 0.0010001 -2.9995 0.99187 0.00044862 0.018790
10178 0.00090005 -3.0453 0.99367 -8.3628e-05 0.018779
1018 0.0014501 -2.8380 0.97022 -0.00037260 0.018780
10180 0.00080004 -3.0965 0.99477 6.5447e-05 0.018787
10183 0.0010001 -2.9995 0.99187 -0.0010581 0.018767
10185 0.00040002 -3.3977 0.99605 0.00024749 0.018787
10187 0.00075004 -3.1246 0.99516 0.00010809 0.018784
1019 0.0010001 -2.9995 0.99187 0.00064637 0.018802
10195 0.00080004 -3.0965 0.99477 -0.00012596 0.018779
10198 0.00080004 -3.0965 0.99477 -0.00025562 0.018775
10200 0.00085004 -3.0702 0.99432 -3.2682e-05 0.018779
10201 0.00095005 -3.0218 0.99286 -0.00043554 0.018774
10202 0.0011001 -2.9581 0.98909 -0.00083829 0.018768
10203 0.99995 4.3010 2.5001e-05 1.6290 0.089155
10221 0.0012001 -2.9203 0.98483 -0.0010494 0.018766
10225 0.00065003 -3.1868 0.99563 0.00032591 0.018786
10228 0.00085004 -3.0702 0.99432 -0.00032141 0.018774
10233 0.0020501 -2.6873 0.92345 0.0022782 0.018861
10236 0.0010501 -2.9783 0.99065 -8.4492e-05 0.018779
10248 0.00080004 -3.0965 0.99477 -0.00014670 0.018777
10249 0.00070004 -3.1546 0.99541 -0.00029241 0.018774
10250 0.0012501 -2.9025 0.98256 -0.00099159 0.018767
10257 0.0016001 -2.7952 0.95565 0.0012868 0.018823
10262 0.0011501 -2.9388 0.98727 0.00042149 0.018801
1027 0.00090005 -3.0453 0.99367 0.00039052 0.018797
