locus prob log10(PO) qval alpha fst
10000 0.103605 -0.937118 0.739606 -0.076813 0.016363
10004 0.11501 -0.88622 0.64739 -0.092189 0.016249
10009 0.10286 -0.94064 0.74442 -0.071386 0.016457
1001 0.10151 -0.94703 0.75286 -0.075741 0.016380
10014 0.081654 -1.0510 0.85617 0.0099268 0.017783
10015 0.088154 -1.0147 0.82863 -0.047553 0.016662
10019 0.080904 -1.0554 0.85894 -0.032130 0.016826
10020 0.086554 -1.0234 0.83571 -0.050082 0.016625
10023 0.072704 -1.1057 0.87991 -0.0087202 0.017172
1003 0.073754 -1.0989 0.87813 0.016734 0.017749
10030 0.076354 -1.0827 0.87245 -0.025309 0.016929
10037 0.081254 -1.0534 0.85751 0.017709 0.017824
10040 0.086204 -1.0253 0.83765 -0.047739 0.016681
10043 0.094505 -0.98143 0.79619 -0.056438 0.016584
10049 0.064703 -1.1600 0.88792 -0.0019629 0.017210
1005 0.090055 -1.0045 0.81872 0.047062 0.018582
10055 0.088054 -1.0152 0.82891 -0.047575 0.016644
10056 0.075054 -1.0907 0.87536 -0.011735 0.017167
10058 0.072454 -1.1073 0.88038 -2.1517e-05 0.017325
10061 0.069253 -1.1284 0.88451 0.0054814 0.017401
10068 0.074904 -1.0917 0.87568 0.026191 0.017866
10070 0.073154 -1.1028 0.87919 -0.00051371 0.017349
10071 0.081254 -1.0534 0.85751 -0.037817 0.016752
10078 0.094505 -0.98143 0.79619 -0.058761 0.016584
10088 0.089854 -1.0056 0.82010 -0.047706 0.016681
10089 0.083754 -1.0390 0.84795 -0.020629 0.017129
10097 0.071354 -1.1144 0.88186 -0.016007 0.017044
101 0.097705 -0.96543 0.77741 -0.062241 0.016541
10100 0.18516 -0.64353 0.40024 0.19173 0.023914
10101 0.10471 -0.93200 0.73192 -0.073069 0.016444
10102 0.086604 -1.0231 0.83555 -0.015893 0.017232
10109 0.098455 -0.96175 0.77321 -0.063711 0.016524
10112 0.11081 -0.90444 0.68259 0.088493 0.020109
10115 0.095905 -0.97437 0.78774 0.044512 0.018811
1012 0.078354 -1.0705 0.86701 -0.033862 0.016778
10120 0.082254 -1.0476 0.85394 0.0023229 0.017601
10123 0.99315 2.1613 0.0016595 1.3738 0.066955
10127 0.082404 -1.0467 0.85325 0.0067567 0.017808
1013 0.070404 -1.1207 0.88317 0.016402 0.017657
10133 0.074154 -1.0964 0.87737 0.012497 0.017670
10137 0.091205 -0.99845 0.81366 -0.053085 0.016608
