locus prob log10(PO) qval alpha fst
10000 0.00860043 -2.06173 0.989819 -0.0019459 0.0034041
10004 0.0084504 -2.0694 0.98987 -0.0013487 0.0034061
10009 0.0099005 -2.0000 0.98872 0.0010633 0.0034230
1001 0.0088504 -2.0492 0.98972 -0.0015044 0.0034033
10014 0.010051 -1.9934 0.98848 0.0011712 0.0034265
10015 0.0094005 -2.0227 0.98931 -0.0019259 0.0034065
10019 0.0082004 -2.0826 0.98992 -0.00056489 0.0034104
10020 0.0087004 -2.0567 0.98978 -0.0030833 0.0034020
10023 0.0099505 -1.9978 0.98864 0.0020979 0.0034317
1003 0.010101 -1.9912 0.98839 0.0017532 0.0034310
10030 0.010101 -1.9912 0.98839 0.00024185 0.0034157
10037 0.011251 -1.9439 0.98488 0.0059948 0.0034585
10040 0.0092005 -2.0322 0.98948 -0.0032682 0.0033995
10043 0.0090005 -2.0418 0.98963 -0.0017640 0.0034088
10049 0.0086504 -2.0592 0.98980 -0.0022331 0.0034042
1005 0.0081004 -2.0880 0.98993 0.00022538 0.0034130
10055 0.010651 -1.9680 0.98714 0.00077026 0.0034288
10056 0.010501 -1.9742 0.98755 -0.00058602 0.0034175
10058 0.0088504 -2.0492 0.98972 -0.00025142 0.0034133
10061 0.0099505 -1.9978 0.98864 -0.0023655 0.0034049
10068 0.010851 -1.9598 0.98649 0.0050854 0.0034523
10070 0.010701 -1.9659 0.98696 -0.0023152 0.0034066
10071 0.0093005 -2.0274 0.98940 -0.00095008 0.0034111
10078 0.0091505 -2.0346 0.98953 -0.0029762 0.0034009
10088 0.0094505 -2.0204 0.98926 1.8751e-05 0.0034147
10089 0.0097005 -2.0090 0.98899 0.00031499 0.0034183
10097 0.010101 -1.9912 0.98839 -0.0014502 0.0034085
101 0.0095505 -2.0158 0.98917 -0.00091650 0.0034101
10100 0.012551 -1.8958 0.97733 0.0037298 0.0034535
10101 0.010801 -1.9618 0.98663 -0.00086887 0.0034165
10102 0.0088004 -2.0517 0.98974 -0.0010270 0.0034112
10109 0.0081004 -2.0880 0.98993 0.00044107 0.0034137
10112 0.010301 -1.9826 0.98803 0.00077409 0.0034248
