locus prob log10(PO) qval alpha fst
10000 0.000350018 -3.45576 0.952667 -0.00027753 0.018955
10004 0.00010001 -3.9999 0.99742 -0.00026511 0.018956
10009 0.00010001 -3.9999 0.99742 -9.8659e-05 0.018956
1001 0.00025001 -3.6019 0.98210 -0.00021027 0.018955
10014 0.00010001 -3.9999 0.99742 -2.8144e-06 0.018957
10015 0.00010001 -3.9999 0.99742 -5.5068e-05 0.018957
10019 0.00010001 -3.9999 0.99742 -4.4531e-05 0.018957
10020 0.00015001 -3.8238 0.99546 -0.00011651 0.018956
10023 5.0003e-05 -4.3010 0.99826 -4.5443e-05 0.018957
1003 5.0003e-05 -4.3010 0.99826 1.2663e-05 0.018958
10030 5.0003e-05 -4.3010 0.99826 2.3491e-05 0.018958
10037 0.0000 -1000.0 0.99853 0.0000 0.018957
10040 0.00010001 -3.9999 0.99742 -8.2945e-05 0.018956
10043 0.00015001 -3.8238 0.99546 -0.00010226 0.018956
10049 5.0003e-05 -4.3010 0.99826 -1.6609e-05 0.018957
1005 5.0003e-05 -4.3010 0.99826 -1.5802e-05 0.018957
10055 0.0000 -1000.0 0.99853 0.0000 0.018957
10056 5.0003e-05 -4.3010 0.99826 -2.0173e-05 0.018957
10058 0.00015001 -3.8238 0.99546 -0.00017342 0.018955
10061 5.0003e-05 -4.3010 0.99826 1.5801e-05 0.018958
10068 5.0003e-05 -4.3010 0.99826 3.6026e-06 0.018957
10070 0.0000 -1000.0 0.99853 0.0000 0.018957
10071 0.00010001 -3.9999 0.99742 -0.00013922 0.018956
10078 0.0000 -1000.0 0.99853 0.0000 0.018957
10088 0.00025001 -3.6019 0.98210 -0.00022030 0.018955
10089 0.00010001 -3.9999 0.99742 -2.6957e-05 0.018957
10097 0.00010001 -3.9999 0.99742 5.1588e-06 0.018958
101 0.00020001 -3.6989 0.99084 -0.00016865 0.018955
10100 0.00010001 -3.9999 0.99742 0.00010712 0.018961
10101 0.00020001 -3.6989 0.99084 -0.00014111 0.018956
10102 0.00010001 -3.9999 0.99742 4.0468e-05 0.018958
10109 0.0000 -1000.0 0.99853 0.0000 0.018957
10112 0.00010001 -3.9999 0.99742 1.7799e-05 0.018958
10115 0.00010001 -3.9999 0.99742 -0.00010021 0.018956
1012 0.00010001 -3.9999 0.99742 -3.7675e-05 0.018957
10120 0.00010001 -3.9999 0.99742 -1.6890e-05 0.018957
10123 0.0018001 -2.7439 0.72698 0.0024569 0.019057
10127 0.00015001 -3.8238 0.99546 2.1956e-06 0.018957
1013 0.00015001 -3.8238 0.99546 0.00020097 0.018965
10133 0.0000 -1000.0 0.99853 0.0000 0.018957
10137 0.0000 -1000.0 0.99853 0.0000 0.018957
10142 5.0003e-05 -4.3010 0.99826 1.6331e-05 0.018958
10150 0.00010001 -3.9999 0.99742 3.9851e-07 0.018958
10156 0.00015001 -3.8238 0.99546 0.00015922 0.018963
10158 5.0003e-05 -4.3010 0.99826 2.6862e-05 0.018958
10160 0.0000 -1000.0 0.99853 0.0000 0.018957
10166 0.00015001 -3.8238 0.99546 -0.00018665 0.018955
1017 0.00015001 -3.8238 0.99546 -0.00010251 0.018956
10171 0.00015001 -3.8238 0.99546 -0.00021912 0.018955
10177 0.00010001 -3.9999 0.99742 1.6519e-05 0.018958
10178 0.00010001 -3.9999 0.99742 -2.5165e-05 0.018957
1018 5.0003e-05 -4.3010 0.99826 -2.2545e-05 0.018957
10180 0.0000 -1000.0 0.99853 0.0000 0.018957
10183 0.0000 -1000.0 0.99853 0.0000 0.018957
10185 5.0003e-05 -4.3010 0.99826 7.4279e-05 0.018960
10187 0.00010001 -3.9999 0.99742 1.9091e-05 0.018958
1019 0.00020001 -3.6989 0.99084 0.00013451 0.018962
10195 0.0000 -1000.0 0.99853 0.0000 0.018957
10198 0.00010001 -3.9999 0.99742 -9.8527e-05 0.018956
10200 0.00015001 -3.8238 0.99546 6.0715e-06 0.018958
10201 0.00015001 -3.8238 0.99546 -0.00017139 0.018956
10202 0.0000 -1000.0 0.99853 0.0000 0.018957
10203 0.98385 1.7847 0.0069628 1.5991 0.088341
10221 0.00010001 -3.9999 0.99742 -0.00016963 0.018956
10225 0.00010001 -3.9999 0.99742 7.7468e-09 0.018957
10228 0.00010001 -3.9999 0.99742 -9.2143e-05 0.018956
10233 0.00020001 -3.6989 0.99084 0.00013912 0.018961
10236 5.0003e-05 -4.3010 0.99826 6.4687e-05 0.018959
10248 0.0000 -1000.0 0.99853 0.0000 0.018957
10249 0.00015001 -3.8238 0.99546 -0.00015211 0.018955
10250 0.00010001 -3.9999 0.99742 -5.7496e-05 0.018956
10257 5.0003e-05 -4.3010 0.99826 3.0430e-05 0.018958
10262 0.0000 -1000.0 0.99853 0.0000 0.018957
1027 0.00015001 -3.8238 0.99546 3.5088e-05 0.018959
10271 0.00015001 -3.8238 0.99546 4.6239e-05 0.018960
10272 0.00010001 -3.9999 0.99742 -4.4114e-05 0.018957
10278 0.00010001 -3.9999 0.99742 -3.2689e-05 0.018957
10281 5.0003e-05 -4.3010 0.99826 -0.00012151 0.018956
10283 0.00020001 -3.6989 0.99084 -0.00027674 0.018954
10285 0.00015001 -3.8238 0.99546 5.9455e-05 0.018959
10288 5.0003e-05 -4.3010 0.99826 5.5481e-06 0.018957
1030 5.0003e-05 -4.3010 0.99826 -9.1134e-05 0.018956
10303 0.00020001 -3.6989 0.99084 -8.0149e-05 0.018956
10307 0.00010001 -3.9999 0.99742 4.3789e-05 0.018958
10312 0.0000 -1000.0 0.99853 0.0000 0.018957
10313 5.0003e-05 -4.3010 0.99826 3.9987e-05 0.018958
10314 0.00010001 -3.9999 0.99742 -2.7707e-05 0.018957
10315 5.0003e-05 -4.3010 0.99826 1.4934e-05 0.018958
10319 5.0003e-05 -4.3010 0.99826 -1.9631e-05 0.018957
10329 0.00015001 -3.8238 0.99546 -9.1773e-06 0.018957
10341 0.00010001 -3.9999 0.99742 -5.9292e-06 0.018958
10342 0.00010001 -3.9999 0.99742 -1.1766e-05 0.018957
10344 0.00010001 -3.9999 0.99742 7.5052e-06 0.018958
10345 5.0003e-05 -4.3010 0.99826 8.4063e-05 0.018961
10347 5.0003e-05 -4.3010 0.99826 4.5758e-06 0.018957
10352 0.00015001 -3.8238 0.99546 -6.7901e-05 0.018958
10355 5.0003e-05 -4.3010 0.99826 -1.5153e-05 0.018957
10364 0.00010001 -3.9999 0.99742 -6.4248e-05 0.018957
10366 5.0003e-05 -4.3010 0.99826 3.6707e-05 0.018958
10368 0.00015001 -3.8238 0.99546 -5.5182e-05 0.018956
1037 5.0003e-05 -4.3010 0.99826 1.9260e-06 0.018957
10373 5.0003e-05 -4.3010 0.99826 -4.8066e-05 0.018957
10376 0.00035002 -3.4558 0.95267 0.00035298 0.018970
10379 5.0003e-05 -4.3010 0.99826 -3.0889e-05 0.018957
10381 0.00015001 -3.8238 0.99546 2.2575e-05 0.018958
10387 5.0003e-05 -4.3010 0.99826 1.4679e-05 0.018958
10388 5.0003e-05 -4.3010 0.99826 -2.6376e-05 0.018957
10390 0.00010001 -3.9999 0.99742 2.9213e-05 0.018958
10392 0.00010001 -3.9999 0.99742 -3.7138e-07 0.018958
10395 0.00015001 -3.8238 0.99546 -0.00015871 0.018955
10396 0.0000 -1000.0 0.99853 0.0000 0.018957
10398 0.00010001 -3.9999 0.99742 6.7384e-05 0.018959
10404 5.0003e-05 -4.3010 0.99826 5.1571e-05 0.018959
1041 0.00025001 -3.6019 0.98210 -0.00015978 0.018955
10413 0.00020001 -3.6989 0.99084 -0.00015009 0.018956
10419 0.00010001 -3.9999 0.99742 -8.3666e-05 0.018956
1042 5.0003e-05 -4.3010 0.99826 4.1420e-06 0.018957
10429 0.00010001 -3.9999 0.99742 -7.9271e-05 0.018956
10434 0.00015001 -3.8238 0.99546 -8.6352e-05 0.018956
10440 0.00015001 -3.8238 0.99546 -0.00022199 0.018956
10445 5.0003e-05 -4.3010 0.99826 -1.7558e-05 0.018957
10452 0.0000 -1000.0 0.99853 0.0000 0.018957
10460 0.00015001 -3.8238 0.99546 -9.2866e-05 0.018956
10464 0.00015001 -3.8238 0.99546 -4.5088e-05 0.018957
10466 0.00025001 -3.6019 0.98210 -3.0751e-05 0.018957
10467 0.00010001 -3.9999 0.99742 -4.6111e-06 0.018957
10474 0.00010001 -3.9999 0.99742 -8.8150e-05 0.018956
10477 0.00010001 -3.9999 0.99742 -0.00010624 0.018956
10478 0.00015001 -3.8238 0.99546 -0.00021067 0.018956
10484 0.0000 -1000.0 0.99853 0.0000 0.018957
10486 0.00015001 -3.8238 0.99546 -0.00010289 0.018956
10490 0.00015001 -3.8238 0.99546 -1.2694e-05 0.018958
10492 0.00020001 -3.6989 0.99084 -4.9495e-05 0.018957
10498 5.0003e-05 -4.3010 0.99826 -9.6807e-07 0.018957
10500 0.0000 -1000.0 0.99853 0.0000 0.018957
10504 0.0000 -1000.0 0.99853 0.0000 0.018957
10505 0.0000 -1000.0 0.99853 0.0000 0.018957
10508 0.0000 -1000.0 0.99853 0.0000 0.018957
10512 0.00010001 -3.9999 0.99742 7.7840e-05 0.018960
10513 0.0000 -1000.0 0.99853 0.0000 0.018957
10515 5.0003e-05 -4.3010 0.99826 -2.4894e-05 0.018957
10516 0.00010001 -3.9999 0.99742 3.9033e-06 0.018957
10517 0.00020001 -3.6989 0.99084 9.8090e-05 0.018960
10520 0.00010001 -3.9999 0.99742 0.00010391 0.018960
10521 0.00020001 -3.6989 0.99084 -7.8405e-05 0.018956
10527 5.0003e-05 -4.3010 0.99826 -2.4076e-05 0.018957
10529 0.00015001 -3.8238 0.99546 -7.1371e-05 0.018957
1053 5.0003e-05 -4.3010 0.99826 -2.7166e-05 0.018957
10542 0.00020001 -3.6989 0.99084 -2.9042e-05 0.018957
10548 0.0000 -1000.0 0.99853 0.0000 0.018957
10553 5.0003e-05 -4.3010 0.99826 -3.6467e-05 0.018957
10562 0.00010001 -3.9999 0.99742 -6.3414e-05 0.018956
10564 0.00010001 -3.9999 0.99742 -7.8270e-05 0.018956
10565 0.00010001 -3.9999 0.99742 0.00011511 0.018961
10567 5.0003e-05 -4.3010 0.99826 5.4736e-05 0.018959
10569 5.0003e-05 -4.3010 0.99826 -7.5626e-05 0.018957
1057 0.00020001 -3.6989 0.99084 -5.3603e-05 0.018957
10571 0.00010001 -3.9999 0.99742 -0.00022345 0.018956
10579 5.0003e-05 -4.3010 0.99826 -1.6338e-05 0.018957
